icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
461f63,FIN5LQ,,,1778855520,59.740445,19.122725,8707.9,0.0,False,249.1,-28.574,182.41
461f63,FIN5LQ,,,1778855521,59.73899,19.11935,8679.2,229.5,False,249.1,-28.709,182.77
461f63,FIN5LQ,,,1778855522,59.737535,19.115975,8650.4,229.5,False,249.1,-28.845,183.13
461f63,FIN5LQ,,,1778855523,59.736061,19.112557,8622.4,229.5,False,252.27,-28.008,181.48
461f63,FIN5LQ,,,1778855524,59.734587,19.109139,8594.2,229.5,False,252.27,-28.136,181.83
461f63,FIN5LQ,,,1778855525,59.733114,19.105722,8566.0,229.5,False,252.27,-28.266,182.18
461f63,FIN5LQ,,,1778855526,59.73164,19.102304,8537.6,229.5,False,252.27,-28.396,182.54
461f63,FIN5LQ,,,1778855527,59.730166,19.098886,8509.1,229.5,False,252.27,-28.528,182.89
461f63,FIN5LQ,,,1778855528,59.728693,19.095468,8480.4,229.5,False,252.27,-28.662,183.25
461f63,FIN5LQ,,,1778855529,59.727219,19.09205,8451.6,229.5,False,252.27,-28.796,183.62
461f63,FIN5LQ,,,1778855530,59.725745,19.088632,8422.7,229.5,False,252.27,-28.932,183.98
461f63,FIN5LQ,,,1778855531,59.724272,19.085214,8393.6,229.5,False,252.27,-29.07,184.34
461f63,FIN5LQ,,,1778855532,59.722798,19.081796,8364.4,229.5,False,252.27,-29.208,184.71
461f63,FIN5LQ,,,1778855533,59.721324,19.078379,8335.0,229.5,False,252.27,-29.348,185.08
461f63,FIN5LQ,,,1778855534,59.719851,19.074961,8305.5,229.5,False,252.27,-29.49,185.45
461f63,FIN5LQ,,,1778855535,59.718377,19.071543,8275.9,229.5,False,252.27,-29.632,185.83
461f63,FIN5LQ,,,1778855536,59.716903,19.068125,8246.1,229.5,False,252.27,-29.777,186.2
461f63,FIN5LQ,,,1778855537,59.71543,19.064707,8216.2,229.5,False,252.27,-29.922,186.58
461f63,FIN5LQ,,,1778855538,59.713956,19.061289,8186.1,229.5,False,252.27,-30.069,186.96
461f63,FIN5LQ,,,1778855539,59.712482,19.057871,8155.9,229.5,False,252.27,-30.218,187.34
461f63,FIN5LQ,,,1778855540,59.711009,19.054453,8125.6,229.5,False,252.27,-30.368,187.73
461f63,FIN5LQ,,,1778855541,59.709535,19.051036,8095.0,229.5,False,252.27,-30.52,188.11
461f63,FIN5LQ,,,1778855542,59.708061,19.047618,8064.4,229.5,False,252.27,-30.673,188.5
461f63,FIN5LQ,,,1778855543,59.706588,19.0442,8033.5,229.5,False,252.27,-30.828,188.9
461f63,FIN5LQ,,,1778855544,59.705114,19.040782,8002.6,229.5,False,252.27,-30.984,189.29
461f63,FIN5LQ,,,1778855545,59.70364,19.037364,7971.4,229.5,False,252.27,-31.142,189.69
461f63,FIN5LQ,,,1778855546,59.702167,19.033946,7940.1,229.5,False,252.27,-31.302,190.09
461f63,FIN5LQ,,,1778855547,59.700693,19.030528,7908.7,229.5,False,252.27,-31.463,190.49
461f63,FIN5LQ,,,1778855548,59.699219,19.027111,7877.0,229.5,False,252.27,-31.626,190.89
461f63,FIN5LQ,,,1778855549,59.697746,19.023693,7845.2,229.5,False,252.27,-31.79,191.3
461f63,FIN5LQ,,,1778855550,59.696272,19.020275,7813.3,229.5,False,252.27,-31.957,191.71
461f63,FIN5LQ,,,1778855551,59.694799,19.016857,7781.2,229.5,False,252.27,-32.125,192.12
461f63,FIN5LQ,,,1778855552,59.693325,19.013439,7748.9,229.5,False,252.27,-32.295,192.53
461f63,FIN5LQ,,,1778855553,59.691851,19.010021,7716.4,229.5,False,252.27,-32.467,192.95
461f63,FIN5LQ,,,1778855554,59.690378,19.006603,7683.8,229.5,False,252.27,-32.64,193.37
461f63,FIN5LQ,,,1778855555,59.688904,19.003185,7650.9,229.5,False,252.27,-32.815,193.79
461f63,FIN5LQ,,,1778855556,59.687403,18.999703,7618.9,229.5,False,257.01,-32.011,192.4
461f63,FIN5LQ,,,1778855557,59.685901,18.996221,7586.7,229.5,False,257.01,-32.179,192.81
461f63,FIN5LQ,,,1778855558,59.6844,18.992739,7554.4,229.5,False,257.01,-32.348,193.23
