icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4076e3,BAW770,,,1781596848,59.418619,16.270198,5599.1,77.7,False,264.19,-30.874,205.34,0.7358,0.12635,0.126,0.143
4076e3,BAW770,,,1781596849,59.419144,16.274744,5568.3,77.2,False,263.71,-30.803,205.34,0.7345,0.12674,0.253,0.285
4076e3,BAW770,,,1781596850,59.419653,16.279297,5537.4,77.6,False,263.76,-30.944,205.78,0.7346,0.12706,0.38,0.427
4076e3,BAW770,,,1781596851,59.420149,16.283837,5506.8,77.9,False,262.68,-30.623,205.26,0.7316,0.12753,0.508,0.569
4076e3,BAW770,,,1781596852,59.420637,16.288361,5476.5,78.0,False,261.61,-30.308,204.75,0.7286,0.12799,0.636,0.711
4076e3,BAW770,,,1781596853,59.421148,16.292855,5446.5,77.4,False,260.54,-29.999,204.23,0.7256,0.12845,0.764,0.851
4076e3,BAW770,,,1781596854,59.421648,16.297335,5416.8,77.6,False,259.48,-29.695,203.72,0.7226,0.1289,0.893,0.991
4076e3,BAW770,,,1781596855,59.422177,16.301784,5387.4,76.8,False,258.43,-29.397,203.21,0.7197,0.12935,1.022,1.131
4076e3,BAW770,,,1781596856,59.422681,16.306225,5358.3,77.4,False,257.38,-29.103,202.69,0.7168,0.12979,1.152,1.27
4076e3,BAW770,,,1781596857,59.423183,16.310648,5329.5,77.4,False,256.34,-28.815,202.18,0.7139,0.13023,1.282,1.408
4076e3,BAW770,,,1781596858,59.423709,16.315042,5300.9,76.7,False,255.31,-28.531,201.66,0.711,0.13065,1.413,1.546
4076e3,BAW770,,,1781596859,59.424231,16.319418,5272.7,76.8,False,254.28,-28.251,201.15,0.7081,0.13108,1.544,1.683
4076e3,BAW770,,,1781596860,59.424745,16.32378,5244.7,77.0,False,253.26,-27.976,200.63,0.7052,0.1315,1.676,1.82
4076e3,BAW770,,,1781596861,59.425254,16.328126,5217.0,77.0,False,252.24,-27.704,200.12,0.7024,0.13191,1.808,1.956
4076e3,BAW770,,,1781596862,59.425747,16.332516,5189.5,77.6,False,254.28,-27.514,199.6,0.7031,0.13053,1.938,2.094
