icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
485a32,KLM59U,,,1781598504,59.435842,16.270381,5628.5,51.8,False,229.61,-19.009,174.03,0.631,0.12987,0.13,0.124
485a32,KLM59U,,,1781598505,59.437136,16.27354,5609.5,51.1,False,229.35,-18.987,174.03,0.6302,0.13007,0.26,0.248
485a32,KLM59U,,,1781598506,59.438385,16.27676,5590.5,52.7,False,229.09,-18.965,174.03,0.6295,0.13027,0.39,0.372
485a32,KLM59U,,,1781598507,59.439676,16.279913,5571.6,51.2,False,228.83,-18.942,174.03,0.6288,0.13048,0.521,0.495
485a32,KLM59U,,,1781598508,59.440951,16.283084,5552.7,51.7,False,228.58,-18.92,174.03,0.6281,0.13068,0.651,0.618
485a32,KLM59U,,,1781598509,59.442228,16.286247,5533.8,51.6,False,228.32,-18.898,174.03,0.6274,0.13088,0.782,0.742
485a32,KLM59U,,,1781598510,59.443499,16.289412,5514.9,51.7,False,228.06,-18.876,174.03,0.6267,0.13108,0.913,0.865
485a32,KLM59U,,,1781598511,59.444764,16.292583,5496.1,51.9,False,227.81,-18.854,174.03,0.6259,0.13128,1.045,0.988
485a32,KLM59U,,,1781598512,59.446047,16.295719,5477.2,51.2,False,227.55,-18.832,174.03,0.6252,0.13149,1.176,1.111
485a32,KLM59U,,,1781598513,59.447315,16.298872,5458.4,51.6,False,227.3,-18.81,174.03,0.6245,0.13169,1.308,1.234
485a32,KLM59U,,,1781598514,59.448571,16.30204,5439.6,52.1,False,227.05,-18.788,174.03,0.6238,0.13189,1.44,1.356
485a32,KLM59U,,,1781598515,59.449839,16.305182,5420.9,51.5,False,226.8,-18.766,174.03,0.6231,0.13209,1.572,1.479
485a32,KLM59U,,,1781598516,59.451076,16.308368,5402.1,52.6,False,226.54,-18.745,174.03,0.6224,0.13229,1.704,1.601
485a32,KLM59U,,,1781598517,59.452325,16.311527,5383.4,52.1,False,226.29,-18.723,174.03,0.6217,0.1325,1.837,1.723
485a32,KLM59U,,,1781598518,59.453588,16.314662,5364.7,51.6,False,226.04,-18.701,174.03,0.621,0.1327,1.969,1.845
485a32,KLM59U,,,1781598519,59.454832,16.317819,5346.0,52.2,False,225.79,-18.68,174.03,0.6203,0.1329,2.102,1.967
485a32,KLM59U,,,1781598520,59.456088,16.320954,5327.4,51.8,False,225.54,-18.658,174.03,0.6196,0.13311,2.235,2.089
485a32,KLM59U,,,1781598521,59.457317,16.324123,5308.7,52.6,False,225.3,-18.637,174.03,0.6189,0.13331,2.369,2.211
485a32,KLM59U,,,1781598522,59.458571,16.327249,5290.1,51.7,False,225.05,-18.615,174.03,0.6182,0.13351,2.502,2.332
485a32,KLM59U,,,1781598523,59.45982,16.330377,5271.5,51.8,False,224.8,-18.594,174.03,0.6175,0.13372,2.636,2.453
485a32,KLM59U,,,1781598524,59.461059,16.333514,5252.9,52.1,False,224.55,-18.572,174.03,0.6168,0.13392,2.77,2.575
485a32,KLM59U,,,1781598525,59.462303,16.336639,5234.4,51.9,False,224.31,-18.551,174.03,0.6161,0.13412,2.904,2.696
485a32,KLM59U,,,1781598526,59.463548,16.339757,5215.9,51.8,False,224.06,-18.53,174.03,0.6155,0.13433,3.038,2.817
485a32,KLM59U,,,1781598527,59.464796,16.342918,5197.3,52.1,False,226.19,-18.562,174.03,0.6178,0.13298,3.171,2.939
485a32,KLM59U,,,1781598528,59.466044,16.346074,5178.8,52.1,False,225.94,-18.54,174.03,0.6171,0.13318,3.304,3.061
485a32,KLM59U,,,1781598529,59.467281,16.349241,5160.2,52.5,False,225.69,-18.519,174.03,0.6164,0.13338,3.438,3.183
485a32,KLM59U,,,1781598530,59.468542,16.352367,5141.7,51.5,False,225.45,-18.498,174.03,0.6157,0.13358,3.571,3.304
485a32,KLM59U,,,1781598531,59.469772,16.355533,5123.3,52.6,False,225.2,-18.477,174.03,0.6151,0.13379,3.705,3.426
485a32,KLM59U,,,1781598532,59.471029,16.358653,5104.8,51.6,False,224.96,-18.456,174.03,0.6144,0.13399,3.839,3.548
485a32,KLM59U,,,1781598533,59.472272,16.36179,5086.4,52.0,False,224.71,-18.435,174.03,0.6137,0.13419,3.973,3.669
485a32,KLM59U,,,1781598534,59.473524,16.364907,5068.0,51.7,False,224.47,-18.414,174.03,0.613,0.13439,4.108,3.79
485a32,KLM59U,,,1781598535,59.474753,16.368054,5049.6,52.4,False,224.23,-18.393,174.03,0.6123,0.13459,4.242,3.911
485a32,KLM59U,,,1781598536,59.475989,16.371185,5031.2,52.1,False,223.98,-18.372,174.03,0.6117,0.13479,4.377,4.032
485a32,KLM59U,,,1781598537,59.477255,16.374277,5012.8,51.1,False,224.3,-18.35,174.03,0.611,0.135,4.512,4.153
485a32,KLM59U,,,1781598538,59.478485,16.37742,4994.5,52.4,False,224.06,-18.33,174.03,0.6103,0.1352,4.647,4.274
485a32,KLM59U,,,1781598539,59.479714,16.380558,4976.2,52.4,False,223.82,-18.309,174.03,0.6096,0.13541,4.783,4.395
485a32,KLM59U,,,1781598540,59.480961,16.383663,4957.9,51.6,False,223.58,-18.288,174.03,0.609,0.13561,4.918,4.516
485a32,KLM59U,,,1781598541,59.482216,16.38675,4939.6,51.3,False,223.34,-18.267,174.03,0.6083,0.13581,5.054,4.636
485a32,KLM59U,,,1781598542,59.483433,16.389891,4921.4,52.7,False,223.1,-18.247,174.03,0.6076,0.13601,5.19,4.757
485a32,KLM59U,,,1781598543,59.484663,16.393008,4903.2,52.1,False,222.86,-18.226,174.03,0.607,0.13621,5.326,4.877
485a32,KLM59U,,,1781598544,59.485905,16.396101,4885.0,51.7,False,222.63,-18.205,174.03,0.6063,0.13641,5.463,4.997
485a32,KLM59U,,,1781598545,59.487126,16.399221,4866.8,52.4,False,222.39,-18.185,174.03,0.6056,0.13662,5.599,5.117
485a32,KLM59U,,,1781598546,59.488345,16.402338,4848.6,52.4,False,222.15,-18.164,174.03,0.605,0.13682,5.736,5.237
485a32,KLM59U,,,1781598547,59.489574,16.405435,4830.5,52.0,False,221.92,-18.144,174.03,0.6043,0.13702,5.873,5.357
485a32,KLM59U,,,1781598548,59.490792,16.408543,4812.4,52.3,False,221.68,-18.124,174.03,0.6037,0.13722,6.01,5.477
