icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4aca87,NSZ38K,,,1781598265,60.46801,18.510016,5783.5,197.4,False,235.54,-23.102,185.98,0.6778,0.12705,0.127,0.127
4aca87,NSZ38K,,,1781598266,60.465993,18.508725,5760.4,197.5,False,235.21,-23.068,185.98,0.6768,0.12731,0.254,0.254
4aca87,NSZ38K,,,1781598267,60.463977,18.507445,5737.4,197.4,False,234.88,-23.034,185.98,0.6759,0.12756,0.382,0.381
4aca87,NSZ38K,,,1781598268,60.461961,18.506184,5714.4,197.1,False,234.54,-23.001,185.98,0.675,0.12782,0.51,0.508
4aca87,NSZ38K,,,1781598269,60.459946,18.50494,5691.4,196.9,False,234.21,-22.968,185.98,0.6741,0.12808,0.638,0.634
4aca87,NSZ38K,,,1781598270,60.457945,18.50363,5668.4,197.9,False,233.88,-22.934,185.98,0.6731,0.12834,0.766,0.76
4aca87,NSZ38K,,,1781598271,60.45594,18.502362,5645.5,197.3,False,233.56,-22.901,185.98,0.6722,0.12859,0.895,0.887
4aca87,NSZ38K,,,1781598272,60.453935,18.501109,5622.7,197.1,False,233.23,-22.868,185.98,0.6713,0.12885,1.024,1.012
4aca87,NSZ38K,,,1781598273,60.451942,18.499804,5599.8,197.9,False,232.9,-22.836,185.98,0.6704,0.12911,1.153,1.138
4aca87,NSZ38K,,,1781598274,60.449941,18.49857,5577.0,196.9,False,232.58,-22.803,185.98,0.6695,0.12937,1.282,1.264
4aca87,NSZ38K,,,1781598275,60.447953,18.497271,5554.3,197.9,False,232.25,-22.771,185.98,0.6686,0.12963,1.412,1.389
4aca87,NSZ38K,,,1781598276,60.445962,18.496011,5531.5,197.3,False,231.93,-22.738,185.98,0.6677,0.12988,1.542,1.514
4aca87,NSZ38K,,,1781598277,60.443969,18.494783,5508.8,196.9,False,231.61,-22.706,185.98,0.6668,0.13014,1.672,1.639
4aca87,NSZ38K,,,1781598278,60.441982,18.493542,5486.2,197.1,False,231.28,-22.674,185.98,0.6659,0.1304,1.802,1.764
4aca87,NSZ38K,,,1781598279,60.439998,18.492293,5463.5,197.3,False,230.96,-22.642,185.98,0.665,0.13066,1.933,1.889
4aca87,NSZ38K,,,1781598280,60.438029,18.490971,5440.9,198.3,False,230.64,-22.611,185.98,0.6641,0.13092,2.064,2.014
4aca87,NSZ38K,,,1781598281,60.43605,18.489733,5418.3,197.1,False,230.33,-22.579,185.98,0.6632,0.13118,2.195,2.138
4aca87,NSZ38K,,,1781598282,60.434076,18.488481,5395.8,197.4,False,230.01,-22.547,185.98,0.6623,0.13143,2.326,2.262
4aca87,NSZ38K,,,1781598283,60.432097,18.487279,5373.3,196.7,False,229.69,-22.516,185.98,0.6614,0.13169,2.458,2.386
4aca87,NSZ38K,,,1781598284,60.430133,18.486002,5350.8,197.8,False,229.38,-22.485,185.98,0.6605,0.13195,2.59,2.51
4aca87,NSZ38K,,,1781598285,60.428169,18.484742,5328.3,197.6,False,229.06,-22.454,185.98,0.6596,0.13221,2.722,2.634
4aca87,NSZ38K,,,1781598286,60.426204,18.483508,5305.9,197.2,False,228.75,-22.423,185.98,0.6588,0.13247,2.855,2.757
4aca87,NSZ38K,,,1781598287,60.42424,18.482291,5283.5,197.0,False,228.43,-22.392,185.98,0.6579,0.13273,2.987,2.881
4aca87,NSZ38K,,,1781598288,60.422276,18.481088,5261.1,196.8,False,228.12,-22.361,185.98,0.657,0.13299,3.12,3.004
