icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4caa57,RYR24NN,,,1781598234,58.80614,17.529249,5323.6,26.0,False,258.58,-27.045,198.1,0.7001,0.13083,0.131,0.14
4caa57,RYR24NN,,,1781598235,58.808225,17.531224,5296.6,26.1,False,258.18,-26.997,198.1,0.699,0.13116,0.262,0.279
4caa57,RYR24NN,,,1781598236,58.810303,17.533205,5269.6,26.3,False,257.79,-26.95,198.1,0.6979,0.13149,0.393,0.418
4caa57,RYR24NN,,,1781598237,58.812398,17.535105,5242.7,25.2,False,257.39,-26.903,198.1,0.6968,0.13183,0.525,0.557
4caa57,RYR24NN,,,1781598238,58.814475,17.537066,5215.9,26.1,False,257.0,-26.856,198.1,0.6957,0.13216,0.657,0.696
4caa57,RYR24NN,,,1781598239,58.81656,17.539069,5189.0,26.4,False,258.96,-26.881,198.1,0.6981,0.13076,0.788,0.836
4caa57,RYR24NN,,,1781598240,58.81866,17.540997,5162.2,25.4,False,258.56,-26.835,198.1,0.697,0.13109,0.919,0.975
4caa57,RYR24NN,,,1781598241,58.820745,17.542992,5135.2,26.4,False,258.74,-26.985,198.58,0.6974,0.13136,1.051,1.115
4caa57,RYR24NN,,,1781598242,58.822823,17.544975,5108.4,26.3,False,257.74,-26.727,198.06,0.6947,0.13175,1.182,1.254
4caa57,RYR24NN,,,1781598243,58.8249,17.546925,5082.0,25.9,False,256.74,-26.472,197.55,0.6919,0.13214,1.315,1.393
4caa57,RYR24NN,,,1781598244,58.82697,17.54886,5055.8,25.8,False,255.75,-26.221,197.03,0.6891,0.13252,1.447,1.531
4caa57,RYR24NN,,,1781598245,58.829028,17.550804,5029.8,26.1,False,254.76,-25.973,196.52,0.6864,0.13289,1.58,1.669
4caa57,RYR24NN,,,1781598246,58.831075,17.552755,5004.1,26.3,False,253.78,-25.728,196.0,0.6836,0.13327,1.713,1.806
4caa57,RYR24NN,,,1781598247,58.833118,17.554684,4978.6,26.0,False,252.81,-25.486,195.49,0.6809,0.13363,1.847,1.942
4caa57,RYR24NN,,,1781598248,58.835154,17.556598,4953.3,25.9,False,251.84,-25.248,194.97,0.6782,0.134,1.981,2.078
4caa57,RYR24NN,,,1781598249,58.83718,17.558514,4928.3,26.1,False,250.87,-25.012,194.46,0.6755,0.13436,2.115,2.214
4caa57,RYR24NN,,,1781598250,58.839202,17.560411,4903.5,25.9,False,249.91,-24.778,193.95,0.6729,0.13471,2.25,2.348
4caa57,RYR24NN,,,1781598251,58.841223,17.562272,4879.0,25.5,False,248.96,-24.548,193.43,0.6702,0.13506,2.385,2.483
4caa57,RYR24NN,,,1781598252,58.843216,17.564209,4854.7,26.7,False,248.01,-24.32,192.92,0.6676,0.1354,2.52,2.617
4caa57,RYR24NN,,,1781598253,58.845228,17.566028,4830.6,25.1,False,247.06,-24.094,192.4,0.6649,0.13575,2.656,2.75
4caa57,RYR24NN,,,1781598254,58.847212,17.567925,4806.7,26.3,False,246.12,-23.872,191.89,0.6623,0.13608,2.792,2.883
4caa57,RYR24NN,,,1781598255,58.849193,17.569798,4783.0,26.1,False,245.18,-23.651,191.37,0.6597,0.13641,2.929,3.016
4caa57,RYR24NN,,,1781598256,58.85118,17.571607,4759.6,25.2,False,244.25,-23.433,190.86,0.6571,0.13674,3.065,3.147
4caa57,RYR24NN,,,1781598257,58.853132,17.573516,4736.4,26.8,False,243.33,-23.217,190.34,0.6545,0.13707,3.202,3.279
4caa57,RYR24NN,,,1781598258,58.855106,17.575305,4713.4,25.1,False,242.4,-23.003,189.83,0.652,0.13739,3.34,3.41
4caa57,RYR24NN,,,1781598259,58.857043,17.577201,4690.6,26.8,False,241.49,-22.792,189.32,0.6494,0.1377,3.478,3.54
4caa57,RYR24NN,,,1781598260,58.859002,17.578976,4668.0,25.1,False,240.57,-22.582,188.8,0.6469,0.13802,3.616,3.67
4caa57,RYR24NN,,,1781598261,58.860945,17.58078,4645.6,25.7,False,239.67,-22.375,188.29,0.6443,0.13832,3.754,3.799
