icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4ac9ef,SAS80A,,,1781598361,59.434902,16.268132,6762.5,52.0,False,225.62,-18.789,163.83,0.6308,0.09914,0.099,0.122
4ac9ef,SAS80A,,,1781598362,59.43619,16.271288,6743.6,51.3,False,228.86,-18.857,163.83,0.6344,0.09815,0.197,0.245
4ac9ef,SAS80A,,,1781598363,59.437447,16.274487,6724.8,52.3,False,228.6,-18.836,163.83,0.6337,0.09826,0.296,0.369
4ac9ef,SAS80A,,,1781598364,59.438732,16.277637,6706.0,51.3,False,228.34,-18.814,163.83,0.6329,0.09837,0.394,0.492
4ac9ef,SAS80A,,,1781598365,59.439979,16.28084,6687.2,52.6,False,228.07,-18.792,163.83,0.6322,0.09848,0.492,0.615
4ac9ef,SAS80A,,,1781598366,59.441242,16.284011,6668.4,51.9,False,227.81,-18.771,163.83,0.6315,0.09859,0.591,0.738
4ac9ef,SAS80A,,,1781598367,59.442501,16.287184,6649.6,52.0,False,227.55,-18.75,163.83,0.6307,0.0987,0.69,0.861
4ac9ef,SAS80A,,,1781598368,59.443777,16.290325,6630.9,51.4,False,227.29,-18.728,163.83,0.63,0.09881,0.789,0.984
4ac9ef,SAS80A,,,1781598369,59.445031,16.293494,6612.2,52.1,False,227.03,-18.707,163.83,0.6293,0.09892,0.887,1.106
4ac9ef,SAS80A,,,1781598370,59.446281,16.296663,6593.5,52.2,False,226.77,-18.685,163.83,0.6285,0.09904,0.986,1.229
4ac9ef,SAS80A,,,1781598371,59.447562,16.299779,6574.9,51.0,False,226.51,-18.664,163.83,0.6278,0.09915,1.086,1.351
4ac9ef,SAS80A,,,1781598372,59.44881,16.302941,6556.2,52.2,False,226.26,-18.643,163.83,0.6271,0.09926,1.185,1.473
4ac9ef,SAS80A,,,1781598373,59.450056,16.3061,6537.6,52.2,False,226.0,-18.622,163.83,0.6264,0.09937,1.284,1.595
4ac9ef,SAS80A,,,1781598374,59.451317,16.30923,6519.0,51.6,False,225.74,-18.6,163.83,0.6256,0.09948,1.384,1.717
4ac9ef,SAS80A,,,1781598375,59.452562,16.31238,6500.4,52.1,False,225.49,-18.579,163.83,0.6249,0.09959,1.483,1.839
4ac9ef,SAS80A,,,1781598376,59.453818,16.315506,6481.9,51.7,False,225.23,-18.558,163.83,0.6242,0.0997,1.583,1.961
4ac9ef,SAS80A,,,1781598377,59.455057,16.318654,6463.3,52.2,False,224.98,-18.537,163.83,0.6235,0.09982,1.683,2.082
4ac9ef,SAS80A,,,1781598378,59.4563,16.321787,6444.8,52.0,False,224.72,-18.516,163.83,0.6228,0.09993,1.783,2.203
4ac9ef,SAS80A,,,1781598379,59.45754,16.324921,6426.3,52.1,False,224.47,-18.495,163.83,0.6221,0.10004,1.883,2.325
4ac9ef,SAS80A,,,1781598380,59.458792,16.328033,6407.8,51.6,False,224.22,-18.474,163.83,0.6214,0.10015,1.983,2.446
4ac9ef,SAS80A,,,1781598381,59.460035,16.331152,6389.4,51.9,False,223.97,-18.453,163.83,0.6206,0.10026,2.083,2.567
4ac9ef,SAS80A,,,1781598382,59.46127,16.334277,6370.9,52.1,False,223.71,-18.432,163.83,0.6199,0.10038,2.184,2.687
4ac9ef,SAS80A,,,1781598383,59.462514,16.337383,6352.5,51.7,False,223.46,-18.411,163.83,0.6192,0.10049,2.284,2.808
4ac9ef,SAS80A,,,1781598384,59.463743,16.340507,6334.1,52.3,False,223.21,-18.39,163.83,0.6185,0.1006,2.385,2.929
4ac9ef,SAS80A,,,1781598385,59.464975,16.34362,6315.8,52.1,False,222.96,-18.369,163.83,0.6178,0.10071,2.485,3.049
4ac9ef,SAS80A,,,1781598386,59.466225,16.346699,6297.4,51.4,False,222.72,-18.349,163.83,0.6171,0.10082,2.586,3.169
4ac9ef,SAS80A,,,1781598387,59.467455,16.349805,6279.1,52.1,False,222.47,-18.328,163.83,0.6164,0.10094,2.687,3.289
4ac9ef,SAS80A,,,1781598388,59.468679,16.352915,6260.8,52.2,False,222.22,-18.307,163.83,0.6157,0.10105,2.788,3.409
4ac9ef,SAS80A,,,1781598389,59.469904,16.356017,6242.5,52.1,False,221.97,-18.287,163.83,0.615,0.10116,2.889,3.529
4ac9ef,SAS80A,,,1781598390,59.471128,16.359116,6224.2,52.1,False,221.73,-18.266,163.83,0.6143,0.10127,2.991,3.649
4ac9ef,SAS80A,,,1781598391,59.472351,16.362211,6206.0,52.1,False,221.48,-18.245,163.83,0.6137,0.10138,3.092,3.769
4ac9ef,SAS80A,,,1781598392,59.473589,16.365277,6187.8,51.5,False,221.24,-18.225,163.83,0.613,0.1015,3.194,3.888
4ac9ef,SAS80A,,,1781598393,59.474808,16.368368,6169.6,52.2,False,220.99,-18.204,163.83,0.6123,0.10161,3.295,4.007
4ac9ef,SAS80A,,,1781598394,59.476031,16.371447,6151.4,52.0,False,220.75,-18.184,163.83,0.6116,0.10172,3.397,4.127
4ac9ef,SAS80A,,,1781598395,59.477249,16.374528,6133.2,52.1,False,220.51,-18.163,163.83,0.6109,0.10183,3.499,4.246
4ac9ef,SAS80A,,,1781598396,59.478463,16.377609,6115.1,52.2,False,220.26,-18.143,163.83,0.6102,0.10195,3.601,4.365
4ac9ef,SAS80A,,,1781598397,59.479676,16.380688,6097.0,52.2,False,220.02,-18.122,163.83,0.6095,0.10206,3.703,4.483
4ac9ef,SAS80A,,,1781598398,59.480877,16.383779,6078.9,52.6,False,219.78,-18.102,163.83,0.6089,0.10217,3.805,4.602
4ac9ef,SAS80A,,,1781598399,59.482132,16.38678,6060.8,50.5,False,219.54,-18.082,163.83,0.6082,0.10228,3.907,4.721
4ac9ef,SAS80A,,,1781598400,59.48334,16.389848,6042.7,52.2,False,219.3,-18.062,163.83,0.6075,0.1024,4.01,4.839
4ac9ef,SAS80A,,,1781598401,59.484523,16.392951,6024.7,53.1,False,219.06,-18.041,163.83,0.6068,0.10251,4.112,4.957
4ac9ef,SAS80A,,,1781598402,59.485752,16.395977,6006.6,51.3,False,218.82,-18.021,163.83,0.6062,0.10262,4.215,5.075
4ac9ef,SAS80A,,,1781598403,59.48697,16.399016,5988.6,51.7,False,218.58,-18.001,163.83,0.6055,0.10273,4.317,5.193
4ac9ef,SAS80A,,,1781598404,59.488185,16.402054,5970.7,51.8,False,218.34,-17.981,163.83,0.6048,0.10285,4.42,5.311
4ac9ef,SAS80A,,,1781598405,59.489376,16.405123,5952.7,52.6,False,218.11,-17.961,163.83,0.6042,0.10296,4.523,5.429
