callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
BAW770,B738,B738W26,73.89,181.51,107.62,59.3,472,39.9
NSZ38K,B38M,B738W26,75.86,226.49,150.63,66.5,487,38.5
NSZ90Y,B738,B738W26,74.9,203.32,128.42,63.2,480,41.9
SAS864,A20N,A320-271N,51.74,167.18,115.44,69.1,446,35.9
NJE718V,B738,B738W26,17.71,94.1,76.39,81.2,105,7.0
SAS073,CRJ9,EMB-190LR,56.92,242.12,185.2,76.5,434,37.4
THY4CK,B738,B738W26,9.39,27.67,18.28,66.1,56,3.0
SAS80A,A20N,A320-271N,61.33,126.7,65.37,51.6,539,48.5
NSZ4004,B738,B738W26,29.85,139.23,109.38,78.6,179,10.4
RYR24NN,B738,B738W26,72.74,168.94,96.2,56.9,463,40.5
NSZ3LZ,B738,B738W26,70.37,173.88,103.51,59.5,445,38.0
KLM59U,B738,B738W26,76.85,120.4,43.55,36.2,493,42.8
SAS51N,A20N,A320-271N,49.2,198.85,149.65,75.3,422,34.6
SAS58E,A20N,A320-271N,50.49,160.31,109.82,68.5,434,37.2
SAS2023,CRJ9,EMB-190LR,52.79,256.17,203.38,79.4,396,31.3
