icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
39e699,AFR11ZB,,,1781170320,59.71834,16.7003,4443.5,0.0,False,240.16,-20.554,183.14,0.628,0.13669,0.137,0.13
39e699,AFR11ZB,,,1781170321,59.716188,16.7003,4423.2,180.0,False,239.27,-20.366,182.63,0.6255,0.13696,0.274,0.259
39e699,AFR11ZB,,,1781170322,59.714045,16.7003,4403.0,180.0,False,238.39,-20.181,182.11,0.6231,0.13722,0.411,0.388
39e699,AFR11ZB,,,1781170323,59.711909,16.7003,4383.0,180.0,False,237.5,-19.997,181.6,0.6207,0.13748,0.548,0.516
39e699,AFR11ZB,,,1781170324,59.709781,16.7003,4363.2,180.0,False,236.63,-19.815,181.08,0.6183,0.13774,0.686,0.644
39e699,AFR11ZB,,,1781170325,59.70766,16.7003,4343.5,180.0,False,235.75,-19.634,180.57,0.6159,0.13799,0.824,0.771
39e699,AFR11ZB,,,1781170326,59.705548,16.7003,4324.1,180.0,False,234.88,-19.455,180.06,0.6135,0.13825,0.962,0.898
39e699,AFR11ZB,,,1781170327,59.703443,16.7003,4304.8,180.0,False,234.02,-19.278,179.54,0.6111,0.13849,1.101,1.024
39e699,AFR11ZB,,,1781170328,59.701347,16.7003,4285.7,180.0,False,233.16,-19.102,179.03,0.6087,0.13874,1.24,1.15
39e699,AFR11ZB,,,1781170329,59.699258,16.7003,4266.8,180.0,False,232.3,-18.928,178.51,0.6064,0.13898,1.379,1.275
39e699,AFR11ZB,,,1781170330,59.697176,16.7003,4248.0,180.0,False,231.44,-18.756,178.0,0.604,0.13922,1.518,1.4
39e699,AFR11ZB,,,1781170331,59.695102,16.7003,4229.4,180.0,False,230.59,-18.585,177.48,0.6017,0.13945,1.657,1.525
39e699,AFR11ZB,,,1781170332,59.693036,16.7003,4211.0,180.0,False,229.74,-18.416,176.97,0.5993,0.13969,1.797,1.649
39e699,AFR11ZB,,,1781170333,59.690978,16.7003,4192.8,180.0,False,228.89,-18.248,176.45,0.597,0.13992,1.937,1.773
39e699,AFR11ZB,,,1781170334,59.688927,16.7003,4174.7,180.0,False,228.05,-18.082,175.94,0.5947,0.14014,2.077,1.896
39e699,AFR11ZB,,,1781170335,59.686884,16.7003,4156.8,180.0,False,227.21,-17.917,175.43,0.5924,0.14037,2.217,2.018
39e699,AFR11ZB,,,1781170336,59.684848,16.7003,4139.0,180.0,False,226.38,-17.754,174.91,0.5901,0.14059,2.358,2.141
39e699,AFR11ZB,,,1781170337,59.682819,16.7003,4121.4,180.0,False,225.55,-17.592,174.4,0.5878,0.14081,2.499,2.262
