icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
461e17,FIN7PA,,,1781172060,59.718421,16.7003,4407.7,0.0,False,231.14,-22.466,175.43,0.6014,0.12176,0.122,0.125
461e17,FIN7PA,,,1781172061,59.716351,16.7003,4385.5,180.0,False,230.23,-22.253,174.91,0.5989,0.12191,0.244,0.249
461e17,FIN7PA,,,1781172062,59.714288,16.7003,4363.4,180.0,False,229.33,-22.042,174.4,0.5965,0.12206,0.366,0.373
461e17,FIN7PA,,,1781172063,59.712234,16.7003,4341.6,180.0,False,228.44,-21.833,173.88,0.594,0.12221,0.488,0.496
461e17,FIN7PA,,,1781172064,59.710188,16.7003,4320.0,180.0,False,227.54,-21.626,173.37,0.5915,0.12236,0.61,0.619
461e17,FIN7PA,,,1781172065,59.708149,16.7003,4298.6,180.0,False,226.65,-21.42,172.85,0.5891,0.1225,0.733,0.742
461e17,FIN7PA,,,1781172066,59.706119,16.7003,4277.4,180.0,False,225.77,-21.217,172.34,0.5867,0.12264,0.855,0.863
461e17,FIN7PA,,,1781172067,59.704096,16.7003,4256.3,180.0,False,224.89,-21.015,171.82,0.5842,0.12278,0.978,0.985
461e17,FIN7PA,,,1781172068,59.702082,16.7003,4235.5,180.0,False,224.01,-20.815,171.31,0.5818,0.12292,1.101,1.106
461e17,FIN7PA,,,1781172069,59.700075,16.7003,4214.9,180.0,False,223.14,-20.617,170.8,0.5794,0.12305,1.224,1.226
461e17,FIN7PA,,,1781172070,59.698076,16.7003,4194.5,180.0,False,222.27,-20.421,170.28,0.577,0.12318,1.347,1.346
461e17,FIN7PA,,,1781172071,59.696085,16.7003,4174.3,180.0,False,221.41,-20.227,169.77,0.5747,0.12332,1.471,1.466
461e17,FIN7PA,,,1781172072,59.694102,16.7003,4154.2,180.0,False,220.55,-20.034,169.25,0.5723,0.12344,1.594,1.585
461e17,FIN7PA,,,1781172073,59.692126,16.7003,4134.4,180.0,False,219.69,-19.843,168.74,0.5699,0.12357,1.718,1.704
461e17,FIN7PA,,,1781172074,59.690158,16.7003,4114.7,180.0,False,218.84,-19.654,168.22,0.5676,0.12369,1.841,1.822
461e17,FIN7PA,,,1781172075,59.688194,16.7003,4095.3,180.0,False,218.36,-19.466,167.71,0.5652,0.12383,1.965,1.94
461e17,FIN7PA,,,1781172076,59.686238,16.7003,4076.0,180.0,False,217.52,-19.281,167.19,0.5629,0.12395,2.089,2.057
461e17,FIN7PA,,,1781172077,59.684289,16.7003,4056.9,180.0,False,216.67,-19.097,166.68,0.5606,0.12407,2.213,2.174
461e17,FIN7PA,,,1781172078,59.682348,16.7003,4038.0,180.0,False,215.83,-18.915,166.17,0.5583,0.12418,2.337,2.291
461e17,FIN7PA,,,1781172079,59.680415,16.7003,4019.2,180.0,False,215.0,-18.734,165.65,0.556,0.12429,2.462,2.407
461e17,FIN7PA,,,1781172080,59.678489,16.7003,4000.7,180.0,False,214.17,-18.555,165.14,0.5537,0.1244,2.586,2.522
461e17,FIN7PA,,,1781172081,59.67657,16.7003,3982.3,180.0,False,213.34,-18.378,164.62,0.5514,0.12451,2.711,2.638
461e17,FIN7PA,,,1781172082,59.674659,16.7003,3964.1,180.0,False,212.51,-18.203,164.11,0.5492,0.12462,2.835,2.752
461e17,FIN7PA,,,1781172083,59.672755,16.7003,3946.1,180.0,False,211.69,-18.029,163.59,0.5469,0.12472,2.96,2.867
461e17,FIN7PA,,,1781172084,59.670859,16.7003,3928.2,180.0,False,210.87,-17.857,163.08,0.5447,0.12483,3.085,2.98
461e17,FIN7PA,,,1781172085,59.66897,16.7003,3910.5,180.0,False,210.06,-17.687,162.56,0.5424,0.12493,3.21,3.094
461e17,FIN7PA,,,1781172086,59.6671,16.7003,3893.0,180.0,False,207.92,-17.549,162.05,0.5418,0.12426,3.334,3.206
461e17,FIN7PA,,,1781172087,59.665237,16.7003,3875.6,180.0,False,207.11,-17.381,161.54,0.5395,0.12436,3.458,3.318
461e17,FIN7PA,,,1781172088,59.663382,16.7003,3858.4,180.0,False,206.3,-17.216,161.02,0.5373,0.12446,3.583,3.429
461e17,FIN7PA,,,1781172089,59.661534,16.7003,3841.3,180.0,False,205.49,-17.051,160.51,0.5351,0.12455,3.707,3.54
461e17,FIN7PA,,,1781172090,59.659693,16.7003,3824.4,180.0,False,204.69,-16.889,159.99,0.5329,0.12464,3.832,3.651
461e17,FIN7PA,,,1781172091,59.657859,16.7003,3807.7,180.0,False,203.88,-16.727,159.48,0.5307,0.12473,3.957,3.761
461e17,FIN7PA,,,1781172092,59.656033,16.7003,3791.1,180.0,False,203.09,-16.568,158.96,0.5285,0.12482,4.082,3.871
461e17,FIN7PA,,,1781172093,59.654214,16.7003,3774.7,180.0,False,202.29,-16.41,158.45,0.5263,0.12491,4.206,3.98
461e17,FIN7PA,,,1781172094,59.652402,16.7003,3758.5,180.0,False,201.5,-16.253,157.93,0.5241,0.12499,4.331,4.089
461e17,FIN7PA,,,1781172095,59.650597,16.7003,3742.4,180.0,False,200.71,-16.098,157.42,0.522,0.12507,4.457,4.197
461e17,FIN7PA,,,1781172096,59.648799,16.7003,3726.4,180.0,False,199.92,-15.944,156.91,0.5198,0.12516,4.582,4.305
461e17,FIN7PA,,,1781172097,59.647008,16.7003,3710.6,180.0,False,199.13,-15.792,156.39,0.5177,0.12523,4.707,4.413
461e17,FIN7PA,,,1781172098,59.645224,16.7003,3695.0,180.0,False,198.35,-15.642,155.88,0.5155,0.12531,4.832,4.52
461e17,FIN7PA,,,1781172099,59.643447,16.7003,3679.5,180.0,False,197.57,-15.493,155.36,0.5134,0.12539,4.958,4.626
461e17,FIN7PA,,,1781172100,59.641677,16.7003,3664.2,180.0,False,196.8,-15.345,154.85,0.5113,0.12546,5.083,4.733
461e17,FIN7PA,,,1781172101,59.639915,16.7003,3649.0,180.0,False,196.02,-15.199,154.33,0.5091,0.12554,5.209,4.838
461e17,FIN7PA,,,1781172102,59.638159,16.7003,3633.9,180.0,False,195.25,-15.054,153.82,0.507,0.12561,5.334,4.944
461e17,FIN7PA,,,1781172103,59.63641,16.7003,3619.0,180.0,False,194.48,-14.911,153.3,0.5049,0.12568,5.46,5.049
461e17,FIN7PA,,,1781172104,59.634667,16.7003,3604.2,180.0,False,193.72,-14.769,152.79,0.5028,0.12574,5.586,5.153
461e17,FIN7PA,,,1781172105,59.632932,16.7003,3589.6,180.0,False,192.95,-14.629,152.28,0.5007,0.12581,5.711,5.258
461e17,FIN7PA,,,1781172106,59.631204,16.7003,3575.1,180.0,False,192.19,-14.489,151.76,0.4986,0.12588,5.837,5.361
461e17,FIN7PA,,,1781172107,59.629482,16.7003,3560.8,180.0,False,191.43,-14.352,151.25,0.4966,0.12594,5.963,5.465
461e17,FIN7PA,,,1781172108,59.627767,16.7003,3546.5,180.0,False,190.68,-14.215,150.73,0.4945,0.126,6.089,5.568
461e17,FIN7PA,,,1781172109,59.626059,16.7003,3532.5,180.0,False,189.92,-14.08,150.22,0.4924,0.12606,6.215,5.67
461e17,FIN7PA,,,1781172110,59.624358,16.7003,3518.5,180.0,False,189.17,-13.947,149.7,0.4904,0.12612,6.341,5.772
461e17,FIN7PA,,,1781172111,59.622663,16.7003,3504.7,180.0,False,188.42,-13.815,149.19,0.4883,0.12618,6.468,5.874
461e17,FIN7PA,,,1781172112,59.620976,16.7003,3491.0,180.0,False,187.68,-13.684,148.67,0.4863,0.12623,6.594,5.975
461e17,FIN7PA,,,1781172113,59.619295,16.7003,3477.5,180.0,False,186.93,-13.554,148.16,0.4842,0.12629,6.72,6.076
461e17,FIN7PA,,,1781172114,59.61762,16.7003,3464.0,180.0,False,186.19,-13.426,147.65,0.4822,0.12634,6.846,6.177
461e17,FIN7PA,,,1781172115,59.615969,16.700372,3450.7,178.7,False,185.45,-13.299,147.13,0.4802,0.12639,6.973,6.277
461e17,FIN7PA,,,1781172116,59.614892,16.702869,3437.6,130.4,False,184.71,-13.173,146.62,0.4781,0.12644,7.099,6.377
461e17,FIN7PA,,,1781172117,59.61382,16.705356,3424.5,130.4,False,183.98,-13.049,146.1,0.4761,0.12649,7.226,6.476
461e17,FIN7PA,,,1781172118,59.612752,16.707833,3411.6,130.4,False,183.24,-12.926,145.59,0.4741,0.12654,7.352,6.575
461e17,FIN7PA,,,1781172119,59.611688,16.710301,3398.8,130.4,False,182.51,-12.804,145.07,0.4721,0.12658,7.479,6.674
461e17,FIN7PA,,,1781172120,59.610629,16.712758,3386.1,130.4,False,181.78,-12.683,144.56,0.4701,0.12663,7.606,6.772
461e17,FIN7PA,,,1781172121,59.609573,16.715206,3373.5,130.4,False,181.05,-12.564,144.04,0.4681,0.12667,7.732,6.87
461e17,FIN7PA,,,1781172122,59.608522,16.717644,3361.1,130.4,False,180.33,-12.446,143.53,0.4661,0.12671,7.859,6.967
461e17,FIN7PA,,,1781172123,59.607475,16.720072,3348.8,130.4,False,179.6,-12.329,143.02,0.4641,0.12675,7.986,7.064
461e17,FIN7PA,,,1781172124,59.606432,16.72249,3336.6,130.4,False,178.88,-12.213,142.5,0.4622,0.12679,8.112,7.161
461e17,FIN7PA,,,1781172125,59.605394,16.724899,3324.5,130.4,False,178.16,-12.099,141.99,0.4602,0.12683,8.239,7.257
461e17,FIN7PA,,,1781172126,59.60436,16.727298,3312.5,130.4,False,177.45,-11.986,141.47,0.4582,0.12687,8.366,7.353
461e17,FIN7PA,,,1781172127,59.60333,16.729687,3300.6,130.4,False,176.73,-11.874,140.96,0.4563,0.12691,8.493,7.448
461e17,FIN7PA,,,1781172128,59.602314,16.732042,3288.8,130.4,False,174.23,-11.788,140.44,0.4555,0.12631,8.619,7.542
461e17,FIN7PA,,,1781172129,59.601303,16.734388,3277.1,130.4,False,173.51,-11.678,139.93,0.4535,0.12635,8.746,7.636
461e17,FIN7PA,,,1781172130,59.600295,16.736724,3265.6,130.4,False,172.8,-11.57,139.41,0.4516,0.12638,8.872,7.729
461e17,FIN7PA,,,1781172131,59.599292,16.739051,3254.1,130.4,False,172.09,-11.463,138.9,0.4496,0.12641,8.999,7.822
461e17,FIN7PA,,,1781172132,59.598293,16.741367,3242.7,130.4,False,171.38,-11.356,138.39,0.4477,0.12645,9.125,7.914
461e17,FIN7PA,,,1781172133,59.597298,16.743675,3231.5,130.4,False,170.67,-11.251,137.87,0.4457,0.12648,9.251,8.007
461e17,FIN7PA,,,1781172134,59.596308,16.745972,3220.3,130.4,False,169.96,-11.148,137.36,0.4438,0.1265,9.378,8.098
461e17,FIN7PA,,,1781172135,59.595321,16.748261,3209.3,130.4,False,169.26,-11.045,136.84,0.4419,0.12653,9.504,8.19
461e17,FIN7PA,,,1781172136,59.594339,16.750539,3198.4,130.4,False,168.55,-10.944,136.33,0.44,0.12656,9.631,8.281
461e17,FIN7PA,,,1781172137,59.59336,16.752808,3187.5,130.4,False,167.85,-10.843,135.81,0.438,0.12659,9.758,8.371
461e17,FIN7PA,,,1781172138,59.592386,16.755068,3176.8,130.4,False,167.15,-10.744,135.3,0.4361,0.12661,9.884,8.462
461e17,FIN7PA,,,1781172139,59.591416,16.757318,3166.1,130.4,False,166.45,-10.646,134.78,0.4342,0.12664,10.011,8.552
461e17,FIN7PA,,,1781172140,59.59045,16.759559,3155.6,130.4,False,165.75,-10.549,134.27,0.4323,0.12666,10.138,8.641
461e17,FIN7PA,,,1781172141,59.589488,16.761791,3145.1,130.4,False,165.06,-10.453,133.76,0.4304,0.12668,10.264,8.73
461e17,FIN7PA,,,1781172142,59.58853,16.764013,3134.8,130.4,False,164.36,-10.358,133.24,0.4285,0.1267,10.391,8.819
461e17,FIN7PA,,,1781172143,59.587576,16.766225,3124.5,130.4,False,163.67,-10.264,132.73,0.4266,0.12672,10.518,8.907
461e17,FIN7PA,,,1781172144,59.586626,16.768429,3114.3,130.4,False,162.98,-10.171,132.21,0.4247,0.12674,10.644,8.995
461e17,FIN7PA,,,1781172145,59.58568,16.770623,3104.2,130.4,False,162.29,-10.08,131.7,0.4228,0.12676,10.771,9.083
461e17,FIN7PA,,,1781172146,59.584738,16.772807,3094.3,130.4,False,161.6,-9.989,131.18,0.421,0.12678,10.898,9.17
461e17,FIN7PA,,,1781172147,59.5838,16.774983,3084.3,130.4,False,160.92,-9.925,130.67,0.42,0.12682,11.025,9.257
461e17,FIN7PA,,,1781172148,59.582866,16.777149,3074.4,130.4,False,160.23,-9.887,130.15,0.42,0.1269,11.152,9.344
461e17,FIN7PA,,,1781172149,59.581936,16.779306,3064.6,130.4,False,159.54,-9.85,129.64,0.42,0.12698,11.279,9.43
461e17,FIN7PA,,,1781172150,59.58101,16.781453,3054.8,130.4,False,158.86,-9.812,129.13,0.42,0.12706,11.406,9.516
461e17,FIN7PA,,,1781172151,59.580088,16.783592,3045.0,130.4,False,158.18,-9.774,128.61,0.42,0.12714,11.533,9.601
461e17,FIN7PA,,,1781172152,59.579166,16.785729,3035.2,130.4,False,158.09,-9.775,128.61,0.42,0.12721,11.66,9.686
461e17,FIN7PA,,,1781172153,59.578245,16.787865,3025.5,130.4,False,158.0,-9.776,128.61,0.42,0.12729,11.787,9.772
461e17,FIN7PA,,,1781172154,59.577325,16.79,3015.7,130.4,False,157.91,-9.777,128.61,0.42,0.12737,11.915,9.857
461e17,FIN7PA,,,1781172155,59.576405,16.792133,3005.9,130.4,False,157.82,-9.778,128.61,0.42,0.12745,12.042,9.942
461e17,FIN7PA,,,1781172156,59.575485,16.794266,2996.1,130.4,False,157.73,-9.779,128.61,0.42,0.12753,12.17,10.027
461e17,FIN7PA,,,1781172157,59.574566,16.796399,2986.3,130.4,False,157.83,-9.78,128.61,0.42,0.12764,12.297,10.112
461e17,FIN7PA,,,1781172158,59.573646,16.798532,2976.6,130.4,False,157.74,-9.781,128.61,0.42,0.12772,12.425,10.198
461e17,FIN7PA,,,1781172159,59.572727,16.800663,2966.8,130.4,False,157.65,-9.782,128.61,0.42,0.1278,12.553,10.283
461e17,FIN7PA,,,1781172160,59.571809,16.802793,2957.0,130.4,False,157.56,-9.782,128.61,0.42,0.12788,12.681,10.368
461e17,FIN7PA,,,1781172161,59.570891,16.804922,2947.2,130.4,False,157.47,-9.783,128.61,0.42,0.12796,12.809,10.453
461e17,FIN7PA,,,1781172162,59.569973,16.80705,2937.4,130.4,False,157.38,-9.784,128.61,0.42,0.12804,12.937,10.538
461e17,FIN7PA,,,1781172163,59.569057,16.809176,2927.6,130.4,False,157.3,-9.785,128.61,0.42,0.12812,13.065,10.623
461e17,FIN7PA,,,1781172164,59.56814,16.811302,2917.9,130.4,False,157.21,-9.786,128.61,0.42,0.1282,13.193,10.708
461e17,FIN7PA,,,1781172165,59.567224,16.813426,2908.1,130.4,False,157.12,-9.787,128.61,0.42,0.12828,13.321,10.793
461e17,FIN7PA,,,1781172166,59.566309,16.815549,2898.3,130.4,False,157.03,-9.788,128.61,0.42,0.12836,13.45,10.877
461e17,FIN7PA,,,1781172167,59.565394,16.81767,2888.5,130.4,False,156.94,-9.789,128.61,0.42,0.12844,13.578,10.962
461e17,FIN7PA,,,1781172168,59.56448,16.819791,2878.7,130.4,False,156.85,-9.79,128.61,0.42,0.12852,13.707,11.047
461e17,FIN7PA,,,1781172169,59.563566,16.82191,2868.9,130.4,False,156.77,-9.791,128.61,0.42,0.1286,13.835,11.131
461e17,FIN7PA,,,1781172170,59.562653,16.824028,2859.1,130.4,False,156.68,-9.792,128.61,0.42,0.12869,13.964,11.216
461e17,FIN7PA,,,1781172171,59.56174,16.826145,2849.3,130.4,False,156.59,-9.793,128.61,0.42,0.12877,14.093,11.301
461e17,FIN7PA,,,1781172172,59.560828,16.828261,2839.5,130.4,False,156.5,-9.794,128.61,0.42,0.12885,14.222,11.385
461e17,FIN7PA,,,1781172173,59.559916,16.830376,2829.7,130.4,False,156.41,-9.795,128.61,0.42,0.12893,14.35,11.47
461e17,FIN7PA,,,1781172174,59.559005,16.832489,2819.9,130.4,False,156.33,-9.796,128.61,0.42,0.12902,14.479,11.554
461e17,FIN7PA,,,1781172175,59.558094,16.834601,2810.1,130.4,False,156.24,-9.797,128.61,0.42,0.1291,14.609,11.638
461e17,FIN7PA,,,1781172176,59.557184,16.836712,2800.4,130.4,False,156.15,-9.798,128.61,0.42,0.12918,14.738,11.723
461e17,FIN7PA,,,1781172177,59.556274,16.838822,2790.6,130.4,False,156.06,-9.799,128.61,0.42,0.12926,14.867,11.807
461e17,FIN7PA,,,1781172178,59.555365,16.840931,2780.8,130.4,False,155.98,-9.8,128.61,0.42,0.12935,14.996,11.891
461e17,FIN7PA,,,1781172179,59.554457,16.843038,2771.0,130.4,False,155.89,-9.801,128.61,0.42,0.12943,15.126,11.975
461e17,FIN7PA,,,1781172180,59.553548,16.845145,2761.2,130.4,False,155.8,-9.802,128.61,0.42,0.12951,15.255,12.059
461e17,FIN7PA,,,1781172181,59.552641,16.84725,2751.3,130.4,False,155.71,-9.803,128.61,0.42,0.1296,15.385,12.143
461e17,FIN7PA,,,1781172182,59.551734,16.849354,2741.5,130.4,False,155.63,-9.804,128.61,0.42,0.12968,15.515,12.227
461e17,FIN7PA,,,1781172183,59.550838,16.851432,2731.7,130.4,False,153.73,-9.799,128.61,0.42,0.12913,15.644,12.31
461e17,FIN7PA,,,1781172184,59.549942,16.853509,2721.9,130.4,False,153.64,-9.8,128.61,0.42,0.12921,15.773,12.393
461e17,FIN7PA,,,1781172185,59.549047,16.855585,2712.1,130.4,False,153.56,-9.801,128.61,0.42,0.1293,15.902,12.476
461e17,FIN7PA,,,1781172186,59.548152,16.85766,2702.3,130.4,False,153.47,-9.802,128.61,0.42,0.12938,16.032,12.559
461e17,FIN7PA,,,1781172187,59.547258,16.859733,2692.5,130.4,False,153.38,-9.803,128.61,0.42,0.12946,16.161,12.642
461e17,FIN7PA,,,1781172188,59.546365,16.861806,2682.7,130.4,False,153.29,-9.804,128.61,0.42,0.12955,16.291,12.725
461e17,FIN7PA,,,1781172189,59.545472,16.863877,2672.9,130.4,False,153.21,-9.805,128.61,0.42,0.12963,16.42,12.808
