icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4aca88,NSZ4EM,,,1781171880,59.719227,16.703255,3954.1,0.0,False,218.08,-16.057,169.25,0.5655,0.14275,0.143,0.118
4aca88,NSZ4EM,,,1781171881,59.717959,16.706199,3938.2,130.5,False,217.28,-15.911,168.74,0.5633,0.14294,0.286,0.235
4aca88,NSZ4EM,,,1781171882,59.716696,16.709132,3922.4,130.5,False,216.49,-15.766,168.22,0.5611,0.14313,0.429,0.352
4aca88,NSZ4EM,,,1781171883,59.715437,16.712054,3906.8,130.5,False,215.69,-15.623,167.71,0.559,0.14331,0.572,0.468
4aca88,NSZ4EM,,,1781171884,59.71419,16.714949,3891.3,130.5,False,213.65,-15.513,167.19,0.5584,0.1425,0.715,0.584
4aca88,NSZ4EM,,,1781171885,59.712948,16.717833,3875.9,130.5,False,212.85,-15.372,166.68,0.5562,0.14268,0.857,0.699
4aca88,NSZ4EM,,,1781171886,59.71171,16.720706,3860.7,130.5,False,212.06,-15.233,166.17,0.5541,0.14285,1.0,0.813
4aca88,NSZ4EM,,,1781171887,59.710477,16.723569,3845.6,130.5,False,211.27,-15.095,165.65,0.5519,0.14303,1.143,0.927
4aca88,NSZ4EM,,,1781171888,59.709249,16.726421,3830.6,130.5,False,210.49,-14.958,165.14,0.5498,0.1432,1.286,1.041
4aca88,NSZ4EM,,,1781171889,59.708025,16.729262,3815.8,130.5,False,209.71,-14.823,164.62,0.5476,0.14337,1.43,1.154
4aca88,NSZ4EM,,,1781171890,59.706805,16.732093,3801.1,130.5,False,208.92,-14.689,164.11,0.5455,0.14354,1.573,1.267
4aca88,NSZ4EM,,,1781171891,59.705591,16.734913,3786.5,130.5,False,208.15,-14.556,163.59,0.5433,0.14371,1.717,1.379
4aca88,NSZ4EM,,,1781171892,59.70438,16.737722,3772.1,130.5,False,207.37,-14.425,163.08,0.5412,0.14387,1.861,1.491
4aca88,NSZ4EM,,,1781171893,59.703175,16.740522,3757.8,130.5,False,206.6,-14.294,162.56,0.5391,0.14403,2.005,1.603
4aca88,NSZ4EM,,,1781171894,59.701973,16.74331,3743.7,130.5,False,205.83,-14.165,162.05,0.537,0.14419,2.149,1.714
4aca88,NSZ4EM,,,1781171895,59.700777,16.746089,3729.6,130.5,False,205.06,-14.038,161.54,0.5349,0.14435,2.293,1.825
4aca88,NSZ4EM,,,1781171896,59.699584,16.748856,3715.7,130.5,False,204.29,-13.911,161.02,0.5328,0.1445,2.438,1.935
4aca88,NSZ4EM,,,1781171897,59.698396,16.751614,3701.9,130.5,False,203.53,-13.786,160.51,0.5307,0.14466,2.583,2.045
4aca88,NSZ4EM,,,1781171898,59.697213,16.754361,3688.3,130.5,False,202.77,-13.663,159.99,0.5286,0.14481,2.727,2.154
4aca88,NSZ4EM,,,1781171899,59.696034,16.757098,3674.7,130.5,False,202.01,-13.54,159.48,0.5265,0.14496,2.872,2.264
4aca88,NSZ4EM,,,1781171900,59.69486,16.759825,3661.3,130.5,False,201.25,-13.419,158.96,0.5244,0.1451,3.017,2.372
4aca88,NSZ4EM,,,1781171901,59.693689,16.762542,3648.0,130.5,False,200.5,-13.298,158.45,0.5224,0.14525,3.163,2.48
4aca88,NSZ4EM,,,1781171902,59.692524,16.765248,3634.8,130.5,False,199.74,-13.18,157.93,0.5203,0.14539,3.308,2.588
4aca88,NSZ4EM,,,1781171903,59.691362,16.767944,3621.8,130.5,False,198.99,-13.062,157.42,0.5183,0.14553,3.454,2.696
4aca88,NSZ4EM,,,1781171904,59.690205,16.77063,3608.8,130.5,False,198.24,-12.945,156.91,0.5162,0.14567,3.599,2.803
4aca88,NSZ4EM,,,1781171905,59.689053,16.773306,3596.0,130.5,False,197.5,-12.83,156.39,0.5142,0.14581,3.745,2.909
4aca88,NSZ4EM,,,1781171906,59.687904,16.775972,3583.3,130.5,False,196.75,-12.716,155.88,0.5121,0.14595,3.891,3.016
4aca88,NSZ4EM,,,1781171907,59.68676,16.778627,3570.7,130.5,False,196.01,-12.603,155.36,0.5101,0.14608,4.037,3.122
4aca88,NSZ4EM,,,1781171908,59.685621,16.781273,3558.2,130.5,False,195.27,-12.492,154.85,0.5081,0.14621,4.183,3.227
4aca88,NSZ4EM,,,1781171909,59.684485,16.783909,3545.8,130.5,False,194.53,-12.381,154.33,0.506,0.14634,4.33,3.332
4aca88,NSZ4EM,,,1781171910,59.683354,16.786535,3533.5,130.5,False,193.8,-12.272,153.82,0.504,0.14647,4.476,3.437
4aca88,NSZ4EM,,,1781171911,59.682228,16.78915,3521.4,130.5,False,193.06,-12.164,153.3,0.502,0.1466,4.623,3.541
4aca88,NSZ4EM,,,1781171912,59.681105,16.791756,3509.3,130.5,False,192.33,-12.057,152.79,0.5,0.14672,4.77,3.645
4aca88,NSZ4EM,,,1781171913,59.679987,16.794352,3497.4,130.5,False,191.6,-11.952,152.28,0.498,0.14685,4.916,3.748
4aca88,NSZ4EM,,,1781171914,59.678873,16.796938,3485.5,130.5,False,190.87,-11.847,151.76,0.496,0.14697,5.063,3.851
4aca88,NSZ4EM,,,1781171915,59.677763,16.799515,3473.8,130.5,False,190.15,-11.744,151.25,0.494,0.14709,5.21,3.954
4aca88,NSZ4EM,,,1781171916,59.676658,16.802081,3462.1,130.5,False,189.42,-11.641,150.73,0.492,0.1472,5.358,4.056
4aca88,NSZ4EM,,,1781171917,59.675556,16.804638,3450.6,130.5,False,188.7,-11.54,150.22,0.49,0.14732,5.505,4.158
4aca88,NSZ4EM,,,1781171918,59.674459,16.807185,3439.1,130.5,False,187.98,-11.44,149.7,0.4881,0.14744,5.652,4.26
4aca88,NSZ4EM,,,1781171919,59.673367,16.809722,3427.8,130.5,False,187.26,-11.342,149.19,0.4861,0.14755,5.8,4.361
4aca88,NSZ4EM,,,1781171920,59.672278,16.812249,3416.6,130.5,False,186.54,-11.244,148.67,0.4841,0.14766,5.948,4.461
4aca88,NSZ4EM,,,1781171921,59.671193,16.814767,3405.4,130.5,False,185.82,-11.147,148.16,0.4822,0.14777,6.095,4.562
4aca88,NSZ4EM,,,1781171922,59.670113,16.817275,3394.4,130.5,False,185.11,-11.052,147.65,0.4802,0.14788,6.243,4.662
4aca88,NSZ4EM,,,1781171923,59.669037,16.819773,3383.4,130.5,False,184.4,-10.958,147.13,0.4783,0.14799,6.391,4.761
4aca88,NSZ4EM,,,1781171924,59.667965,16.822262,3372.5,130.5,False,183.68,-10.864,146.62,0.4763,0.14809,6.539,4.86
4aca88,NSZ4EM,,,1781171925,59.666897,16.824741,3361.8,130.5,False,182.98,-10.772,146.1,0.4744,0.1482,6.688,4.959
4aca88,NSZ4EM,,,1781171926,59.665833,16.827211,3351.1,130.5,False,182.27,-10.681,145.59,0.4724,0.1483,6.836,5.058
4aca88,NSZ4EM,,,1781171927,59.664774,16.829671,3340.5,130.5,False,181.56,-10.592,145.07,0.4705,0.1484,6.984,5.156
4aca88,NSZ4EM,,,1781171928,59.663718,16.832121,3330.0,130.5,False,180.86,-10.503,144.56,0.4686,0.1485,7.133,5.253
4aca88,NSZ4EM,,,1781171929,59.662667,16.834562,3319.6,130.5,False,180.15,-10.415,144.04,0.4666,0.1486,7.281,5.351
4aca88,NSZ4EM,,,1781171930,59.661619,16.836993,3309.2,130.5,False,179.45,-10.329,143.53,0.4647,0.14869,7.43,5.448
4aca88,NSZ4EM,,,1781171931,59.660576,16.839415,3299.0,130.5,False,178.75,-10.243,143.02,0.4628,0.14879,7.579,5.544
4aca88,NSZ4EM,,,1781171932,59.659547,16.841805,3288.8,130.5,False,176.35,-10.191,142.5,0.4621,0.14798,7.727,5.639
4aca88,NSZ4EM,,,1781171933,59.65852,16.844188,3278.7,130.5,False,175.92,-10.106,141.99,0.4601,0.14812,7.875,5.734
4aca88,NSZ4EM,,,1781171934,59.657498,16.846562,3268.7,130.5,False,175.22,-10.024,141.47,0.4582,0.14821,8.023,5.829
4aca88,NSZ4EM,,,1781171935,59.656479,16.848927,3258.7,130.5,False,174.53,-9.943,140.96,0.4563,0.1483,8.171,5.923
4aca88,NSZ4EM,,,1781171936,59.655464,16.851282,3248.9,130.5,False,173.83,-9.863,140.44,0.4544,0.14839,8.32,6.017
4aca88,NSZ4EM,,,1781171937,59.654454,16.853628,3239.1,130.5,False,173.13,-9.784,139.93,0.4525,0.14847,8.468,6.11
4aca88,NSZ4EM,,,1781171938,59.653448,16.855964,3229.4,130.4,False,172.44,-9.706,139.41,0.4506,0.14856,8.617,6.204
4aca88,NSZ4EM,,,1781171939,59.652445,16.858291,3219.8,130.4,False,171.75,-9.629,138.9,0.4487,0.14865,8.765,6.296
4aca88,NSZ4EM,,,1781171940,59.651447,16.860609,3210.2,130.4,False,171.06,-9.553,138.39,0.4468,0.14873,8.914,6.389
4aca88,NSZ4EM,,,1781171941,59.650453,16.862917,3200.7,130.4,False,170.37,-9.478,137.87,0.4449,0.14881,9.063,6.481
4aca88,NSZ4EM,,,1781171942,59.649462,16.865216,3191.3,130.4,False,169.68,-9.405,137.36,0.443,0.14889,9.212,6.572
4aca88,NSZ4EM,,,1781171943,59.648476,16.867506,3182.0,130.4,False,168.99,-9.332,136.84,0.4412,0.14897,9.361,6.664
4aca88,NSZ4EM,,,1781171944,59.647494,16.869786,3172.7,130.4,False,168.3,-9.26,136.33,0.4393,0.14905,9.51,6.754
4aca88,NSZ4EM,,,1781171945,59.646516,16.872057,3163.5,130.4,False,167.62,-9.189,135.81,0.4374,0.14913,9.659,6.845
4aca88,NSZ4EM,,,1781171946,59.645541,16.874319,3154.4,130.4,False,166.93,-9.12,135.3,0.4355,0.14921,9.808,6.935
4aca88,NSZ4EM,,,1781171947,59.644571,16.876571,3145.4,130.4,False,166.25,-9.051,134.78,0.4337,0.14928,9.958,7.025
4aca88,NSZ4EM,,,1781171948,59.643605,16.878815,3136.4,130.4,False,165.57,-8.984,134.27,0.4318,0.14936,10.107,7.114
4aca88,NSZ4EM,,,1781171949,59.642643,16.881049,3127.5,130.4,False,164.89,-8.917,133.76,0.4299,0.14943,10.256,7.203
4aca88,NSZ4EM,,,1781171950,59.641684,16.883273,3118.6,130.4,False,164.21,-8.851,133.24,0.4281,0.14951,10.406,7.292
4aca88,NSZ4EM,,,1781171951,59.64073,16.885489,3109.8,130.4,False,163.53,-8.787,132.73,0.4262,0.14958,10.555,7.38
4aca88,NSZ4EM,,,1781171952,59.639779,16.887696,3101.1,130.4,False,162.86,-8.723,132.21,0.4244,0.14965,10.705,7.468
4aca88,NSZ4EM,,,1781171953,59.638833,16.889893,3092.4,130.4,False,162.18,-8.661,131.7,0.4225,0.14972,10.855,7.556
4aca88,NSZ4EM,,,1781171954,59.63789,16.892081,3083.8,130.4,False,161.5,-8.599,131.18,0.4207,0.14979,11.005,7.643
4aca88,NSZ4EM,,,1781171955,59.636952,16.89426,3075.3,130.4,False,160.83,-8.538,130.67,0.4188,0.14985,11.154,7.73
4aca88,NSZ4EM,,,1781171956,59.636017,16.89643,3066.8,130.4,False,160.16,-8.479,130.15,0.417,0.14992,11.304,7.816
4aca88,NSZ4EM,,,1781171957,59.635086,16.898591,3058.4,130.4,False,159.49,-8.42,129.64,0.4152,0.14998,11.454,7.902
4aca88,NSZ4EM,,,1781171958,59.634159,16.900743,3050.0,130.4,False,158.82,-8.363,129.13,0.4133,0.15005,11.604,7.988
4aca88,NSZ4EM,,,1781171959,59.633236,16.902886,3041.7,130.4,False,158.15,-8.306,128.61,0.4115,0.15011,11.754,8.074
4aca88,NSZ4EM,,,1781171960,59.632314,16.905027,3033.4,130.4,False,158.07,-8.301,128.61,0.4113,0.1502,11.905,8.159
4aca88,NSZ4EM,,,1781171961,59.631392,16.907168,3025.1,130.4,False,158.0,-8.297,128.61,0.4111,0.15029,12.055,8.244
4aca88,NSZ4EM,,,1781171962,59.63047,16.909308,3016.8,130.4,False,157.92,-8.292,128.61,0.4109,0.15038,12.205,8.329
4aca88,NSZ4EM,,,1781171963,59.629549,16.911446,3008.6,130.4,False,157.85,-8.288,128.61,0.4107,0.15047,12.356,8.415
4aca88,NSZ4EM,,,1781171964,59.628628,16.913584,3000.3,130.4,False,157.77,-8.283,128.61,0.4105,0.15056,12.506,8.5
4aca88,NSZ4EM,,,1781171965,59.627708,16.915721,2992.0,130.4,False,157.69,-8.279,128.61,0.4103,0.15065,12.657,8.585
4aca88,NSZ4EM,,,1781171966,59.626788,16.917856,2983.7,130.4,False,157.62,-8.274,128.61,0.4101,0.15074,12.808,8.67
4aca88,NSZ4EM,,,1781171967,59.625868,16.919991,2975.4,130.4,False,157.54,-8.27,128.61,0.4099,0.15083,12.959,8.755
4aca88,NSZ4EM,,,1781171968,59.624949,16.922124,2967.2,130.4,False,157.47,-8.265,128.61,0.4097,0.15092,13.11,8.84
4aca88,NSZ4EM,,,1781171969,59.624031,16.924257,2958.9,130.4,False,157.39,-8.261,128.61,0.4095,0.15101,13.261,8.925
4aca88,NSZ4EM,,,1781171970,59.623112,16.926388,2950.7,130.4,False,157.32,-8.256,128.61,0.4092,0.1511,13.412,9.01
4aca88,NSZ4EM,,,1781171971,59.622195,16.928519,2942.4,130.4,False,157.25,-8.252,128.61,0.409,0.15118,13.563,9.095
4aca88,NSZ4EM,,,1781171972,59.621277,16.930648,2934.2,130.4,False,157.17,-8.247,128.61,0.4088,0.15127,13.714,9.18
4aca88,NSZ4EM,,,1781171973,59.620361,16.932777,2925.9,130.4,False,157.1,-8.243,128.61,0.4086,0.15136,13.865,9.265
