icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4bab46,THY6QL,,,1781171640,58.677466,17.9132,5339.4,0.0,False,263.14,-25.216,193.13,0.6909,0.12799,0.128,0.142
4bab46,THY6QL,,,1781171641,58.67983,17.9132,5314.2,0.0,False,262.77,-25.175,193.13,0.6899,0.12828,0.256,0.284
4bab46,THY6QL,,,1781171642,58.682189,17.9132,5289.1,0.0,False,262.4,-25.135,193.13,0.6889,0.12857,0.385,0.426
4bab46,THY6QL,,,1781171643,58.684546,17.9132,5264.0,0.0,False,262.03,-25.094,193.13,0.6879,0.12886,0.514,0.567
4bab46,THY6QL,,,1781171644,58.686899,17.9132,5238.9,0.0,False,261.66,-25.054,193.13,0.6869,0.12915,0.643,0.708
4bab46,THY6QL,,,1781171645,58.689249,17.9132,5213.9,0.0,False,261.3,-25.014,193.13,0.6859,0.12944,0.772,0.85
4bab46,THY6QL,,,1781171646,58.691626,17.9132,5188.9,0.0,False,264.34,-25.034,193.13,0.6879,0.1283,0.901,0.992
4bab46,THY6QL,,,1781171647,58.694,17.9132,5163.9,0.0,False,263.98,-24.994,193.13,0.6868,0.12859,1.029,1.135
4bab46,THY6QL,,,1781171648,58.696371,17.9132,5138.9,0.0,False,263.61,-24.954,193.13,0.6858,0.12888,1.158,1.277
4bab46,THY6QL,,,1781171649,58.698738,17.9132,5114.0,0.0,False,263.25,-24.914,193.13,0.6848,0.12917,1.287,1.419
4bab46,THY6QL,,,1781171650,58.701103,17.9132,5089.2,0.0,False,262.89,-24.875,193.13,0.6838,0.12945,1.417,1.561
4bab46,THY6QL,,,1781171651,58.703464,17.9132,5064.3,0.0,False,262.52,-24.835,193.13,0.6828,0.12974,1.546,1.703
4bab46,THY6QL,,,1781171652,58.705821,17.9132,5039.5,0.0,False,262.16,-24.796,193.13,0.6818,0.13003,1.676,1.845
4bab46,THY6QL,,,1781171653,58.708176,17.9132,5014.8,0.0,False,261.81,-24.758,193.13,0.6808,0.13032,1.807,1.986
4bab46,THY6QL,,,1781171654,58.710527,17.9132,4990.0,0.0,False,261.45,-24.719,193.13,0.6799,0.1306,1.937,2.127
4bab46,THY6QL,,,1781171655,58.712875,17.9132,4965.4,0.0,False,261.09,-24.681,193.13,0.6789,0.13089,2.068,2.268
4bab46,THY6QL,,,1781171656,58.71522,17.9132,4940.7,0.0,False,260.73,-24.643,193.13,0.6779,0.13118,2.199,2.409
4bab46,THY6QL,,,1781171657,58.717562,17.9132,4916.1,0.0,False,260.38,-24.605,193.13,0.6769,0.13147,2.331,2.549
