icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
39e68d,AFR11ZB,,,1776071340,59.845284,16.702892,7924.5,0.0,False,190.86,-12.548,137.22
39e68d,AFR11ZB,,,1776071341,59.844167,16.705483,7911.9,130.6,False,190.86,-12.565,137.34
39e68d,AFR11ZB,,,1776071342,59.843051,16.708075,7899.3,130.6,False,190.86,-12.582,137.46
39e68d,AFR11ZB,,,1776071343,59.841935,16.710666,7886.7,130.6,False,190.86,-12.599,137.58
39e68d,AFR11ZB,,,1776071344,59.840818,16.713258,7874.1,130.6,False,190.86,-12.615,137.7
39e68d,AFR11ZB,,,1776071345,59.839702,16.715849,7861.5,130.6,False,190.86,-12.632,137.82
39e68d,AFR11ZB,,,1776071346,59.838586,16.718441,7848.8,130.6,False,190.86,-12.649,137.94
39e68d,AFR11ZB,,,1776071347,59.837469,16.721033,7836.2,130.6,False,190.86,-12.667,138.07
39e68d,AFR11ZB,,,1776071348,59.836353,16.723624,7823.5,130.6,False,190.86,-12.684,138.19
39e68d,AFR11ZB,,,1776071349,59.835237,16.726216,7810.8,130.6,False,190.86,-12.701,138.31
39e68d,AFR11ZB,,,1776071350,59.834121,16.728807,7798.1,130.6,False,190.86,-12.718,138.43
39e68d,AFR11ZB,,,1776071351,59.833004,16.731399,7785.3,130.6,False,190.86,-12.736,138.55
39e68d,AFR11ZB,,,1776071352,59.831888,16.73399,7772.6,130.6,False,190.86,-12.753,138.67
39e68d,AFR11ZB,,,1776071353,59.830772,16.736582,7759.8,130.6,False,190.86,-12.771,138.8
39e68d,AFR11ZB,,,1776071354,59.829655,16.739173,7747.0,130.6,False,190.86,-12.788,138.92
39e68d,AFR11ZB,,,1776071355,59.828539,16.741765,7734.2,130.6,False,190.86,-12.806,139.04
39e68d,AFR11ZB,,,1776071356,59.827423,16.744357,7721.4,130.6,False,190.86,-12.824,139.16
39e68d,AFR11ZB,,,1776071357,59.826306,16.746948,7708.6,130.6,False,190.86,-12.842,139.29
39e68d,AFR11ZB,,,1776071358,59.82519,16.74954,7695.7,130.6,False,190.86,-12.86,139.41
39e68d,AFR11ZB,,,1776071359,59.824074,16.752131,7682.8,130.6,False,190.86,-12.878,139.53
39e68d,AFR11ZB,,,1776071360,59.822957,16.754723,7669.9,130.6,False,190.86,-12.896,139.66
39e68d,AFR11ZB,,,1776071361,59.821841,16.757314,7657.0,130.6,False,190.86,-12.914,139.78
39e68d,AFR11ZB,,,1776071362,59.820725,16.759906,7644.1,130.6,False,190.86,-12.932,139.91
39e68d,AFR11ZB,,,1776071363,59.819602,16.762512,7631.3,130.6,False,191.93,-12.764,138.97
39e68d,AFR11ZB,,,1776071364,59.818479,16.765118,7618.5,130.6,False,191.93,-12.782,139.09
39e68d,AFR11ZB,,,1776071365,59.817357,16.767725,7605.7,130.6,False,191.93,-12.799,139.21
39e68d,AFR11ZB,,,1776071366,59.816234,16.770331,7592.9,130.6,False,191.93,-12.817,139.33
39e68d,AFR11ZB,,,1776071367,59.815112,16.772937,7580.1,130.6,False,191.93,-12.834,139.46
39e68d,AFR11ZB,,,1776071368,59.813989,16.775543,7567.2,130.6,False,191.93,-12.852,139.58
39e68d,AFR11ZB,,,1776071369,59.812866,16.778149,7554.4,130.6,False,191.93,-12.87,139.7
39e68d,AFR11ZB,,,1776071370,59.811744,16.780755,7541.5,130.6,False,191.93,-12.887,139.83
39e68d,AFR11ZB,,,1776071371,59.810621,16.783362,7528.6,130.6,False,191.93,-12.905,139.95
39e68d,AFR11ZB,,,1776071372,59.809499,16.785968,7515.6,130.6,False,191.93,-12.923,140.07
39e68d,AFR11ZB,,,1776071373,59.808376,16.788574,7502.7,130.6,False,191.93,-12.941,140.2
39e68d,AFR11ZB,,,1776071374,59.807253,16.79118,7489.7,130.6,False,191.93,-12.959,140.32
39e68d,AFR11ZB,,,1776071375,59.806131,16.793786,7476.8,130.6,False,191.93,-12.977,140.45
39e68d,AFR11ZB,,,1776071376,59.805008,16.796392,7463.8,130.6,False,191.93,-12.996,140.57
39e68d,AFR11ZB,,,1776071377,59.803886,16.798999,7450.8,130.6,False,191.93,-13.014,140.7
39e68d,AFR11ZB,,,1776071378,59.802763,16.801605,7437.7,130.6,False,191.93,-13.032,140.82
39e68d,AFR11ZB,,,1776071379,59.80164,16.804211,7424.7,130.6,False,191.93,-13.051,140.95
39e68d,AFR11ZB,,,1776071380,59.800518,16.806817,7411.6,130.6,False,191.93,-13.069,141.07
39e68d,AFR11ZB,,,1776071381,59.799395,16.809423,7398.5,130.6,False,191.93,-13.088,141.2
39e68d,AFR11ZB,,,1776071382,59.798273,16.812029,7385.4,130.6,False,191.93,-13.107,141.33
39e68d,AFR11ZB,,,1776071383,59.79715,16.814636,7372.3,130.6,False,191.93,-13.126,141.45
39e68d,AFR11ZB,,,1776071384,59.796027,16.817242,7359.1,130.6,False,191.93,-13.145,141.58
39e68d,AFR11ZB,,,1776071385,59.794905,16.819848,7346.0,130.6,False,191.93,-13.163,141.71
39e68d,AFR11ZB,,,1776071386,59.793782,16.822454,7332.8,130.6,False,191.93,-13.183,141.83
39e68d,AFR11ZB,,,1776071387,59.79266,16.82506,7319.6,130.6,False,191.93,-13.202,141.96
39e68d,AFR11ZB,,,1776071388,59.791537,16.827666,7306.4,130.6,False,191.93,-13.221,142.09
39e68d,AFR11ZB,,,1776071389,59.790414,16.830273,7293.1,130.6,False,191.93,-13.24,142.22
39e68d,AFR11ZB,,,1776071390,59.789292,16.832879,7279.9,130.6,False,191.93,-13.259,142.35
39e68d,AFR11ZB,,,1776071391,59.788169,16.835485,7266.6,130.6,False,191.93,-13.279,142.47
39e68d,AFR11ZB,,,1776071392,59.787046,16.838091,7253.3,130.6,False,191.93,-13.298,142.6
39e68d,AFR11ZB,,,1776071393,59.785924,16.840697,7240.0,130.6,False,191.93,-13.318,142.73
39e68d,AFR11ZB,,,1776071394,59.784801,16.843303,7226.6,130.6,False,191.93,-13.338,142.86
39e68d,AFR11ZB,,,1776071395,59.783679,16.84591,7213.3,130.6,False,191.93,-13.357,142.99
39e68d,AFR11ZB,,,1776071396,59.782556,16.848516,7199.9,130.6,False,191.93,-13.377,143.12
39e68d,AFR11ZB,,,1776071397,59.781433,16.851122,7186.5,130.6,False,191.93,-13.397,143.25
39e68d,AFR11ZB,,,1776071398,59.780311,16.853728,7173.1,130.6,False,191.93,-13.417,143.38
39e68d,AFR11ZB,,,1776071399,59.779188,16.856334,7159.7,130.6,False,191.93,-13.437,143.51
39e68d,AFR11ZB,,,1776071400,59.778066,16.85894,7146.2,130.6,False,191.93,-13.458,143.64
39e68d,AFR11ZB,,,1776071401,59.776943,16.861547,7132.7,130.6,False,191.93,-13.478,143.77
39e68d,AFR11ZB,,,1776071402,59.77582,16.864153,7119.2,130.6,False,191.93,-13.498,143.9
39e68d,AFR11ZB,,,1776071403,59.774698,16.866759,7105.7,130.6,False,191.93,-13.519,144.04
39e68d,AFR11ZB,,,1776071404,59.773575,16.869365,7092.2,130.6,False,191.93,-13.539,144.17
39e68d,AFR11ZB,,,1776071405,59.772453,16.871971,7078.6,130.6,False,191.93,-13.56,144.3
39e68d,AFR11ZB,,,1776071406,59.771327,16.874585,7065.0,130.5,False,192.51,-13.576,144.41
39e68d,AFR11ZB,,,1776071407,59.770201,16.877199,7051.4,130.5,False,192.51,-13.597,144.54
39e68d,AFR11ZB,,,1776071408,59.769075,16.879813,7037.8,130.5,False,192.51,-13.618,144.68
39e68d,AFR11ZB,,,1776071409,59.767949,16.882427,7024.2,130.5,False,192.51,-13.639,144.81
39e68d,AFR11ZB,,,1776071410,59.766823,16.885041,7010.5,130.5,False,192.51,-13.66,144.94
39e68d,AFR11ZB,,,1776071411,59.765697,16.887655,6996.8,130.5,False,192.51,-13.681,145.08
39e68d,AFR11ZB,,,1776071412,59.764571,16.890269,6983.1,130.5,False,192.51,-13.702,145.21
39e68d,AFR11ZB,,,1776071413,59.763445,16.892883,6969.4,130.5,False,192.51,-13.723,145.35
39e68d,AFR11ZB,,,1776071414,59.762319,16.895497,6955.7,130.5,False,192.51,-13.745,145.48
39e68d,AFR11ZB,,,1776071415,59.761193,16.898111,6941.9,130.5,False,192.51,-13.766,145.61
39e68d,AFR11ZB,,,1776071416,59.760067,16.900725,6928.1,130.5,False,192.51,-13.788,145.75
39e68d,AFR11ZB,,,1776071417,59.758941,16.903339,6914.3,130.5,False,192.51,-13.81,145.88
39e68d,AFR11ZB,,,1776071418,59.757815,16.905953,6900.5,130.5,False,192.51,-13.831,146.02
39e68d,AFR11ZB,,,1776071419,59.756689,16.908567,6886.6,130.5,False,192.51,-13.853,146.16
39e68d,AFR11ZB,,,1776071420,59.755563,16.911181,6872.7,130.5,False,192.51,-13.875,146.29
39e68d,AFR11ZB,,,1776071421,59.754437,16.913795,6858.8,130.5,False,192.51,-13.897,146.43
39e68d,AFR11ZB,,,1776071422,59.753311,16.916409,6844.9,130.5,False,192.51,-13.919,146.57
39e68d,AFR11ZB,,,1776071423,59.752185,16.919023,6831.0,130.5,False,192.51,-13.941,146.7
39e68d,AFR11ZB,,,1776071424,59.751059,16.921637,6817.0,130.5,False,192.51,-13.964,146.84
39e68d,AFR11ZB,,,1776071425,59.749933,16.924251,6803.0,130.5,False,192.51,-13.986,146.98
39e68d,AFR11ZB,,,1776071426,59.748807,16.926865,6789.0,130.5,False,192.51,-14.009,147.12
39e68d,AFR11ZB,,,1776071427,59.747681,16.929479,6775.0,130.5,False,192.51,-14.031,147.25
39e68d,AFR11ZB,,,1776071428,59.746555,16.932093,6760.9,130.5,False,192.51,-14.054,147.39
