icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
461e18,FIN7PA,,,1776072060,59.845263,16.70294,9184.5,0.0,False,194.45,-13.307,128.06
461e18,FIN7PA,,,1776072061,59.844125,16.705581,9171.1,130.6,False,194.45,-13.323,128.18
461e18,FIN7PA,,,1776072062,59.842988,16.708221,9157.8,130.6,False,194.45,-13.339,128.31
461e18,FIN7PA,,,1776072063,59.841851,16.710861,9144.5,130.6,False,194.45,-13.354,128.43
461e18,FIN7PA,,,1776072064,59.840713,16.713502,9131.1,130.6,False,194.45,-13.37,128.55
461e18,FIN7PA,,,1776072065,59.839576,16.716142,9117.7,130.6,False,194.45,-13.386,128.68
461e18,FIN7PA,,,1776072066,59.838439,16.718782,9104.3,130.6,False,194.45,-13.403,128.8
461e18,FIN7PA,,,1776072067,59.837301,16.721423,9090.9,130.6,False,194.45,-13.419,128.93
461e18,FIN7PA,,,1776072068,59.836164,16.724063,9077.4,130.6,False,194.45,-13.435,129.05
461e18,FIN7PA,,,1776072069,59.835027,16.726703,9064.0,130.6,False,194.45,-13.451,129.18
461e18,FIN7PA,,,1776072070,59.833889,16.729344,9050.5,130.6,False,194.45,-13.468,129.3
461e18,FIN7PA,,,1776072071,59.832752,16.731984,9037.0,130.6,False,194.45,-13.484,129.43
461e18,FIN7PA,,,1776072072,59.831615,16.734625,9023.5,130.6,False,194.45,-13.501,129.55
461e18,FIN7PA,,,1776072073,59.830477,16.737265,9010.0,130.6,False,194.45,-13.518,129.68
461e18,FIN7PA,,,1776072074,59.82934,16.739905,8996.5,130.6,False,194.45,-13.534,129.8
461e18,FIN7PA,,,1776072075,59.828203,16.742546,8982.9,130.6,False,194.45,-13.551,129.93
461e18,FIN7PA,,,1776072076,59.827065,16.745186,8969.4,130.6,False,194.45,-13.568,130.06
461e18,FIN7PA,,,1776072077,59.825928,16.747826,8955.8,130.6,False,194.45,-13.585,130.18
461e18,FIN7PA,,,1776072078,59.824791,16.750467,8942.2,130.6,False,194.45,-13.602,130.31
461e18,FIN7PA,,,1776072079,59.823653,16.753107,8928.6,130.6,False,194.45,-13.619,130.44
461e18,FIN7PA,,,1776072080,59.822516,16.755747,8914.9,130.6,False,194.45,-13.636,130.57
461e18,FIN7PA,,,1776072081,59.821379,16.758388,8901.3,130.6,False,194.45,-13.654,130.69
461e18,FIN7PA,,,1776072082,59.820241,16.761028,8887.6,130.6,False,194.45,-13.671,130.82
461e18,FIN7PA,,,1776072083,59.819104,16.763668,8873.9,130.6,False,194.45,-13.689,130.95
461e18,FIN7PA,,,1776072084,59.817967,16.766309,8860.2,130.6,False,194.45,-13.706,131.08
461e18,FIN7PA,,,1776072085,59.816829,16.768949,8846.5,130.6,False,194.45,-13.724,131.21
