callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS005,A20N,A320-271N,103.82,433.8,329.98,76.1,952,77.1
SAS81C,B738,B738W26,125.91,746.75,620.84,83.1,880,77.1
NSZ38K,B38M,B738W26,123.77,783.36,659.59,84.2,866,77.1
NSZ8GH,B38M,B738W26,143.64,722.77,579.13,80.1,1010,77.1
FIN7PA,E190,EMB-190STD,85.13,359.04,273.91,76.3,678,58.8
SAS2498,CRJ9,EMB-190LR,79.54,472.49,392.95,83.2,635,58.7
BEL2JZ,A319,A319-131,101.41,579.92,478.51,82.5,677,58.7
AFR11ZB,BCS3,A319-131,109.46,472.97,363.51,76.9,717,58.7
SAS144,A20N,A320-271N,70.24,700.97,630.73,90.0,632,58.8
SAS705,AT76,ATR72-600,2.5085917493060636e+73,0.0,-2.5085917493060636e+73,0.0,2653,52.4
SAS404,A20N,A320-271N,72.44,434.13,361.69,83.3,644,57.2
TKJ7FK,B738,B738W26,99.12,453.09,353.97,78.1,657,57.2
PGT56HA,A21N,A321-131,94.77,707.8,613.03,86.6,619,57.2
