callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS005,433.8,103.82,329.98,76.1,952,77.1
SAS81C,746.75,125.91,620.84,83.1,880,77.1
NSZ38K,783.36,123.77,659.59,84.2,866,77.1
NSZ8GH,722.77,143.64,579.13,80.1,1010,77.1
FIN7PA,359.04,85.13,273.91,76.3,678,58.8
SAS2498,472.49,79.54,392.95,83.2,635,58.7
BEL2JZ,579.92,101.41,478.51,82.5,677,58.7
AFR11ZB,472.97,109.46,363.51,76.9,717,58.7
SAS144,700.97,70.24,630.73,90.0,632,58.8
SAS705,0.0,2.5085917493060636e+73,-2.5085917493060636e+73,0.0,2653,52.4
SAS404,434.13,72.44,361.69,83.3,644,57.2
TKJ7FK,453.09,99.12,353.97,78.1,657,57.2
PGT56HA,707.8,94.77,613.03,86.6,619,57.2
