icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4787b3,NOZ812,,,1776075060,59.844538,16.7003,8132.8,0.0,False,207.1,-14.346,147.04
4787b3,NOZ812,,,1776075061,59.842675,16.7003,8118.4,180.0,False,207.1,-14.365,147.18
4787b3,NOZ812,,,1776075062,59.840813,16.7003,8104.0,180.0,False,207.1,-14.385,147.33
4787b3,NOZ812,,,1776075063,59.83895,16.7003,8089.6,180.0,False,207.1,-14.405,147.48
4787b3,NOZ812,,,1776075064,59.837088,16.7003,8075.2,180.0,False,207.1,-14.425,147.62
4787b3,NOZ812,,,1776075065,59.835225,16.7003,8060.8,180.0,False,207.1,-14.445,147.77
4787b3,NOZ812,,,1776075066,59.833363,16.7003,8046.3,180.0,False,207.1,-14.466,147.92
4787b3,NOZ812,,,1776075067,59.8315,16.7003,8031.8,180.0,False,207.1,-14.486,148.07
4787b3,NOZ812,,,1776075068,59.829638,16.7003,8017.3,180.0,False,207.1,-14.506,148.22
4787b3,NOZ812,,,1776075069,59.827775,16.7003,8002.8,180.0,False,207.1,-14.527,148.37
4787b3,NOZ812,,,1776075070,59.825913,16.7003,7988.2,180.0,False,207.1,-14.547,148.52
4787b3,NOZ812,,,1776075071,59.82405,16.7003,7973.7,180.0,False,207.1,-14.568,148.66
4787b3,NOZ812,,,1776075072,59.822188,16.7003,7959.1,180.0,False,207.1,-14.588,148.81
4787b3,NOZ812,,,1776075073,59.820325,16.7003,7944.5,180.0,False,207.1,-14.609,148.96
4787b3,NOZ812,,,1776075074,59.818463,16.7003,7929.8,180.0,False,207.1,-14.63,149.11
4787b3,NOZ812,,,1776075075,59.8166,16.7003,7915.2,180.0,False,207.1,-14.651,149.27
4787b3,NOZ812,,,1776075076,59.814738,16.7003,7900.5,180.0,False,207.1,-14.672,149.42
4787b3,NOZ812,,,1776075077,59.812876,16.7003,7885.8,180.0,False,207.1,-14.693,149.57
4787b3,NOZ812,,,1776075078,59.811013,16.7003,7871.1,180.0,False,207.1,-14.715,149.72
4787b3,NOZ812,,,1776075079,59.809151,16.7003,7856.4,180.0,False,207.1,-14.736,149.87
4787b3,NOZ812,,,1776075080,59.807288,16.7003,7841.6,180.0,False,207.1,-14.757,150.02
4787b3,NOZ812,,,1776075081,59.805426,16.7003,7826.8,180.0,False,207.1,-14.779,150.18
4787b3,NOZ812,,,1776075082,59.803563,16.7003,7812.0,180.0,False,207.1,-14.801,150.33
4787b3,NOZ812,,,1776075083,59.801701,16.7003,7797.2,180.0,False,207.1,-14.822,150.48
4787b3,NOZ812,,,1776075084,59.799838,16.7003,7782.4,180.0,False,207.1,-14.844,150.63
4787b3,NOZ812,,,1776075085,59.797976,16.7003,7767.5,180.0,False,207.1,-14.866,150.79
4787b3,NOZ812,,,1776075086,59.796113,16.7003,7752.6,180.0,False,207.1,-14.888,150.94
4787b3,NOZ812,,,1776075087,59.794251,16.7003,7737.7,180.0,False,207.1,-14.91,151.1
4787b3,NOZ812,,,1776075088,59.792388,16.7003,7722.8,180.0,False,207.1,-14.932,151.25
4787b3,NOZ812,,,1776075089,59.790526,16.7003,7707.8,180.0,False,207.1,-14.954,151.41
4787b3,NOZ812,,,1776075090,59.788663,16.7003,7692.8,180.0,False,207.1,-14.977,151.56
4787b3,NOZ812,,,1776075091,59.786801,16.7003,7677.8,180.0,False,207.1,-14.999,151.72
4787b3,NOZ812,,,1776075092,59.784938,16.7003,7662.8,180.0,False,207.1,-15.022,151.87
4787b3,NOZ812,,,1776075093,59.783076,16.7003,7647.8,180.0,False,207.1,-15.045,152.03
4787b3,NOZ812,,,1776075094,59.781203,16.7003,7632.9,180.0,False,208.29,-14.876,151.02
4787b3,NOZ812,,,1776075095,59.77933,16.7003,7618.0,180.0,False,208.29,-14.898,151.17
4787b3,NOZ812,,,1776075096,59.777456,16.7003,7603.1,180.0,False,208.29,-14.92,151.33
4787b3,NOZ812,,,1776075097,59.775583,16.7003,7588.1,180.0,False,208.29,-14.942,151.48
4787b3,NOZ812,,,1776075098,59.77371,16.7003,7573.2,180.0,False,208.29,-14.964,151.63
4787b3,NOZ812,,,1776075099,59.771837,16.7003,7558.2,180.0,False,208.29,-14.986,151.79
4787b3,NOZ812,,,1776075100,59.769964,16.7003,7543.2,180.0,False,208.29,-15.008,151.94
4787b3,NOZ812,,,1776075101,59.76809,16.7003,7528.1,180.0,False,208.29,-15.031,152.1
4787b3,NOZ812,,,1776075102,59.766217,16.7003,7513.1,180.0,False,208.29,-15.053,152.26
