icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
502daa,SWR5ZM,,,1776074400,59.740903,19.123787,6399.1,0.0,False,170.69,-9.805,127.48
502daa,SWR5ZM,,,1776074401,59.739906,19.121475,6389.3,229.5,False,170.69,-9.809,127.57
502daa,SWR5ZM,,,1776074402,59.738909,19.119162,6379.5,229.5,False,170.69,-9.813,127.65
502daa,SWR5ZM,,,1776074403,59.737912,19.11685,6369.6,229.5,False,170.69,-9.817,127.73
502daa,SWR5ZM,,,1776074404,59.736914,19.114537,6359.8,229.5,False,170.69,-9.821,127.82
502daa,SWR5ZM,,,1776074405,59.735917,19.112224,6350.0,229.5,False,170.69,-9.826,127.9
502daa,SWR5ZM,,,1776074406,59.73492,19.109912,6340.2,229.5,False,170.69,-9.83,127.99
502daa,SWR5ZM,,,1776074407,59.733923,19.107599,6330.3,229.5,False,170.69,-9.834,128.07
502daa,SWR5ZM,,,1776074408,59.732926,19.105287,6320.5,229.5,False,170.69,-9.838,128.15
502daa,SWR5ZM,,,1776074409,59.731929,19.102974,6310.7,229.5,False,170.69,-9.843,128.24
502daa,SWR5ZM,,,1776074410,59.730932,19.100662,6300.8,229.5,False,170.69,-9.847,128.32
502daa,SWR5ZM,,,1776074411,59.729935,19.098349,6291.0,229.5,False,170.69,-9.851,128.41
502daa,SWR5ZM,,,1776074412,59.728938,19.096036,6281.1,229.5,False,170.69,-9.856,128.49
502daa,SWR5ZM,,,1776074413,59.727941,19.093724,6271.2,229.5,False,170.69,-9.86,128.58
502daa,SWR5ZM,,,1776074414,59.726943,19.091411,6261.4,229.5,False,170.69,-9.864,128.66
502daa,SWR5ZM,,,1776074415,59.725946,19.089099,6251.5,229.5,False,170.69,-9.869,128.75
502daa,SWR5ZM,,,1776074416,59.724949,19.086786,6241.6,229.5,False,170.69,-9.873,128.83
502daa,SWR5ZM,,,1776074417,59.723952,19.084473,6231.8,229.5,False,170.69,-9.878,128.92
502daa,SWR5ZM,,,1776074418,59.722955,19.082161,6221.9,229.5,False,170.69,-9.882,129.0
502daa,SWR5ZM,,,1776074419,59.721958,19.079848,6212.0,229.5,False,170.69,-9.887,129.09
502daa,SWR5ZM,,,1776074420,59.720961,19.077536,6202.1,229.5,False,170.69,-9.891,129.17
502daa,SWR5ZM,,,1776074421,59.719964,19.075223,6192.2,229.5,False,170.69,-9.896,129.26
502daa,SWR5ZM,,,1776074422,59.718967,19.07291,6182.3,229.5,False,170.69,-9.901,129.34
502daa,SWR5ZM,,,1776074423,59.71797,19.070598,6172.4,229.5,False,170.69,-9.905,129.43
502daa,SWR5ZM,,,1776074424,59.716972,19.068285,6162.5,229.5,False,170.69,-9.91,129.51
502daa,SWR5ZM,,,1776074425,59.715975,19.065973,6152.6,229.5,False,170.69,-9.914,129.6
502daa,SWR5ZM,,,1776074426,59.714978,19.06366,6142.7,229.5,False,170.69,-9.919,129.68
502daa,SWR5ZM,,,1776074427,59.713981,19.061347,6132.7,229.5,False,170.69,-9.924,129.77
502daa,SWR5ZM,,,1776074428,59.712984,19.059035,6122.8,229.5,False,170.69,-9.929,129.85
502daa,SWR5ZM,,,1776074429,59.711987,19.056722,6112.9,229.5,False,170.69,-9.933,129.94
502daa,SWR5ZM,,,1776074430,59.71099,19.05441,6102.9,229.5,False,170.69,-9.938,130.02
502daa,SWR5ZM,,,1776074431,59.709993,19.052097,6093.0,229.5,False,170.69,-9.943,130.11
502daa,SWR5ZM,,,1776074432,59.708996,19.049785,6083.0,229.5,False,170.69,-9.948,130.2
502daa,SWR5ZM,,,1776074433,59.707999,19.047472,6073.1,229.5,False,170.69,-9.952,130.28
502daa,SWR5ZM,,,1776074434,59.707001,19.045159,6063.1,229.5,False,170.69,-9.957,130.37
502daa,SWR5ZM,,,1776074435,59.706004,19.042847,6053.2,229.5,False,170.69,-9.962,130.45
502daa,SWR5ZM,,,1776074436,59.705007,19.040534,6043.2,229.5,False,170.69,-9.967,130.54
502daa,SWR5ZM,,,1776074437,59.70401,19.038222,6033.2,229.5,False,170.69,-9.972,130.63
502daa,SWR5ZM,,,1776074438,59.703013,19.035909,6023.3,229.5,False,170.69,-9.977,130.71
502daa,SWR5ZM,,,1776074439,59.702016,19.033596,6013.3,229.5,False,170.69,-9.982,130.8
502daa,SWR5ZM,,,1776074440,59.701019,19.031284,6003.3,229.5,False,170.69,-9.987,130.89
502daa,SWR5ZM,,,1776074441,59.700022,19.028971,5993.3,229.5,False,170.69,-9.992,130.97
502daa,SWR5ZM,,,1776074442,59.699025,19.026659,5983.3,229.5,False,170.69,-9.997,131.06
502daa,SWR5ZM,,,1776074443,59.698028,19.024346,5973.3,229.5,False,170.69,-10.002,131.14
502daa,SWR5ZM,,,1776074444,59.69703,19.022033,5963.3,229.5,False,170.69,-10.007,131.23
502daa,SWR5ZM,,,1776074445,59.696033,19.019721,5953.3,229.5,False,170.69,-10.012,131.32
502daa,SWR5ZM,,,1776074446,59.695038,19.017413,5943.3,229.5,False,170.36,-9.993,130.66
502daa,SWR5ZM,,,1776074447,59.694043,19.015105,5933.3,229.5,False,170.36,-9.997,130.75
502daa,SWR5ZM,,,1776074448,59.693048,19.012797,5923.3,229.5,False,170.36,-10.002,130.83
502daa,SWR5ZM,,,1776074449,59.692053,19.010488,5913.3,229.5,False,170.36,-10.007,130.92
502daa,SWR5ZM,,,1776074450,59.691057,19.00818,5903.3,229.5,False,170.36,-10.012,131.01
502daa,SWR5ZM,,,1776074451,59.690062,19.005872,5893.2,229.5,False,170.36,-10.017,131.09
502daa,SWR5ZM,,,1776074452,59.689067,19.003564,5883.2,229.5,False,170.36,-10.022,131.18
502daa,SWR5ZM,,,1776074453,59.688072,19.001256,5873.2,229.5,False,170.36,-10.027,131.27
502daa,SWR5ZM,,,1776074454,59.687077,18.998948,5863.2,229.5,False,170.36,-10.032,131.35
502daa,SWR5ZM,,,1776074455,59.686082,18.99664,5853.1,229.5,False,170.36,-10.037,131.44
502daa,SWR5ZM,,,1776074456,59.685087,18.994332,5843.1,229.5,False,170.36,-10.042,131.53
502daa,SWR5ZM,,,1776074457,59.684091,18.992024,5833.0,229.5,False,170.36,-10.047,131.61
502daa,SWR5ZM,,,1776074458,59.683096,18.989716,5823.0,229.5,False,170.36,-10.052,131.7
502daa,SWR5ZM,,,1776074459,59.682101,18.987408,5812.9,229.5,False,170.36,-10.057,131.79
502daa,SWR5ZM,,,1776074460,59.681106,18.985099,5802.9,229.5,False,170.36,-10.062,131.88
502daa,SWR5ZM,,,1776074461,59.680111,18.982791,5792.8,229.5,False,170.36,-10.067,131.96
502daa,SWR5ZM,,,1776074462,59.679116,18.980483,5782.7,229.5,False,170.36,-10.072,132.05
502daa,SWR5ZM,,,1776074463,59.67812,18.978175,5772.6,229.5,False,170.36,-10.078,132.14
502daa,SWR5ZM,,,1776074464,59.677125,18.975867,5762.6,229.5,False,170.36,-10.083,132.23
502daa,SWR5ZM,,,1776074465,59.67613,18.973559,5752.5,229.5,False,170.36,-10.088,132.31
502daa,SWR5ZM,,,1776074466,59.675135,18.971251,5742.4,229.5,False,170.36,-10.093,132.4
502daa,SWR5ZM,,,1776074467,59.67414,18.968943,5732.3,229.5,False,170.36,-10.099,132.49
502daa,SWR5ZM,,,1776074468,59.673145,18.966635,5722.2,229.5,False,170.36,-10.104,132.58
502daa,SWR5ZM,,,1776074469,59.672149,18.964327,5712.1,229.5,False,170.36,-10.109,132.67
502daa,SWR5ZM,,,1776074470,59.671154,18.962019,5702.0,229.5,False,170.36,-10.115,132.75
502daa,SWR5ZM,,,1776074471,59.670159,18.95971,5691.8,229.5,False,170.36,-10.12,132.84
502daa,SWR5ZM,,,1776074472,59.669164,18.957402,5681.7,229.5,False,170.36,-10.125,132.93
502daa,SWR5ZM,,,1776074473,59.668169,18.955094,5671.6,229.5,False,170.36,-10.131,133.02
502daa,SWR5ZM,,,1776074474,59.667174,18.952786,5661.4,229.5,False,170.36,-10.136,133.11
502daa,SWR5ZM,,,1776074475,59.666178,18.950478,5651.3,229.5,False,170.36,-10.142,133.19
