icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
406d6f,BLX248,,,1776868920,58.802906,17.9132,6048.0,0.0,False,211.95,-11.885,148.54
406d6f,BLX248,,,1776868921,58.804811,17.9132,6036.1,0.0,False,211.8,-11.878,148.54
406d6f,BLX248,,,1776868922,58.806714,17.9132,6024.3,0.0,False,211.66,-11.872,148.54
406d6f,BLX248,,,1776868923,58.808617,17.9132,6012.4,0.0,False,211.51,-11.865,148.54
406d6f,BLX248,,,1776868924,58.810517,17.9132,6000.5,0.0,False,211.36,-11.858,148.54
406d6f,BLX248,,,1776868925,58.812417,17.9132,5988.7,0.0,False,211.22,-11.851,148.54
406d6f,BLX248,,,1776868926,58.814315,17.9132,5976.8,0.0,False,211.07,-11.845,148.54
406d6f,BLX248,,,1776868927,58.816212,17.9132,5965.0,0.0,False,210.93,-11.838,148.54
406d6f,BLX248,,,1776868928,58.818108,17.9132,5953.2,0.0,False,210.78,-11.831,148.54
406d6f,BLX248,,,1776868929,58.820025,17.9132,5941.3,0.0,False,213.18,-11.859,148.54
406d6f,BLX248,,,1776868930,58.821941,17.9132,5929.5,0.0,False,213.03,-11.852,148.54
406d6f,BLX248,,,1776868931,58.823855,17.9132,5917.6,0.0,False,212.88,-11.846,148.54
406d6f,BLX248,,,1776868932,58.825768,17.9132,5905.8,0.0,False,212.74,-11.839,148.54
406d6f,BLX248,,,1776868933,58.82768,17.9132,5893.9,0.0,False,212.59,-11.832,148.54
406d6f,BLX248,,,1776868934,58.829591,17.9132,5882.1,0.0,False,212.45,-11.825,148.54
406d6f,BLX248,,,1776868935,58.8315,17.9132,5870.3,0.0,False,212.3,-11.819,148.54
406d6f,BLX248,,,1776868936,58.833408,17.9132,5858.5,0.0,False,212.16,-11.812,148.54
406d6f,BLX248,,,1776868937,58.835315,17.9132,5846.7,0.0,False,212.01,-11.805,148.54
406d6f,BLX248,,,1776868938,58.83722,17.9132,5834.9,0.0,False,211.87,-11.799,148.54
406d6f,BLX248,,,1776868939,58.839124,17.9132,5823.1,0.0,False,211.72,-11.792,148.54
