icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4d2085,EWG6RY,,,1776868560,58.802974,17.9132,6475.3,0.0,False,219.5,-13.757,150.24
4d2085,EWG6RY,,,1776868561,58.804946,17.9132,6461.5,0.0,False,219.33,-13.745,150.24
4d2085,EWG6RY,,,1776868562,58.806917,17.9132,6447.8,0.0,False,219.15,-13.732,150.24
4d2085,EWG6RY,,,1776868563,58.808887,17.9132,6434.1,0.0,False,218.97,-13.72,150.24
4d2085,EWG6RY,,,1776868564,58.810854,17.9132,6420.4,0.0,False,218.8,-13.708,150.24
4d2085,EWG6RY,,,1776868565,58.81282,17.9132,6406.7,0.0,False,218.62,-13.696,150.24
4d2085,EWG6RY,,,1776868566,58.814785,17.9132,6393.0,0.0,False,218.45,-13.684,150.24
4d2085,EWG6RY,,,1776868567,58.816748,17.9132,6379.3,0.0,False,218.27,-13.672,150.24
4d2085,EWG6RY,,,1776868568,58.818709,17.9132,6365.7,0.0,False,218.1,-13.66,150.24
4d2085,EWG6RY,,,1776868569,58.820669,17.9132,6352.0,0.0,False,217.92,-13.648,150.24
4d2085,EWG6RY,,,1776868570,58.822627,17.9132,6338.4,0.0,False,217.75,-13.636,150.24
4d2085,EWG6RY,,,1776868571,58.824584,17.9132,6324.8,0.0,False,217.58,-13.624,150.24
4d2085,EWG6RY,,,1776868572,58.826539,17.9132,6311.1,0.0,False,217.41,-13.612,150.24
4d2085,EWG6RY,,,1776868573,58.828493,17.9132,6297.5,0.0,False,217.23,-13.6,150.24
4d2085,EWG6RY,,,1776868574,58.830445,17.9132,6284.0,0.0,False,217.06,-13.588,150.24
4d2085,EWG6RY,,,1776868575,58.832396,17.9132,6270.4,0.0,False,216.89,-13.576,150.24
4d2085,EWG6RY,,,1776868576,58.834345,17.9132,6256.8,0.0,False,216.72,-13.565,150.24
4d2085,EWG6RY,,,1776868577,58.836292,17.9132,6243.3,0.0,False,216.55,-13.553,150.24
4d2085,EWG6RY,,,1776868578,58.838238,17.9132,6229.7,0.0,False,216.37,-13.541,150.24
4d2085,EWG6RY,,,1776868579,58.840182,17.9132,6216.2,0.0,False,216.2,-13.529,150.24
4d2085,EWG6RY,,,1776868580,58.842125,17.9132,6202.7,0.0,False,216.03,-13.517,150.24
4d2085,EWG6RY,,,1776868581,58.844066,17.9132,6189.2,0.0,False,215.86,-13.505,150.24
4d2085,EWG6RY,,,1776868582,58.846006,17.9132,6175.7,0.0,False,215.69,-13.493,150.24
4d2085,EWG6RY,,,1776868583,58.847944,17.9132,6162.2,0.0,False,215.52,-13.482,150.24
4d2085,EWG6RY,,,1776868584,58.849881,17.9132,6148.7,0.0,False,215.36,-13.47,150.24
4d2085,EWG6RY,,,1776868585,58.851816,17.9132,6135.3,0.0,False,215.19,-13.458,150.24
4d2085,EWG6RY,,,1776868586,58.85375,17.9132,6121.8,0.0,False,215.02,-13.446,150.24
4d2085,EWG6RY,,,1776868587,58.855682,17.9132,6108.4,0.0,False,214.85,-13.435,150.24
4d2085,EWG6RY,,,1776868588,58.857613,17.9132,6095.0,0.0,False,214.68,-13.423,150.24
4d2085,EWG6RY,,,1776868589,58.859542,17.9132,6081.6,0.0,False,214.52,-13.411,150.24
4d2085,EWG6RY,,,1776868590,58.86147,17.9132,6068.2,0.0,False,214.35,-13.399,150.24
4d2085,EWG6RY,,,1776868591,58.863396,17.9132,6054.8,0.0,False,214.18,-13.388,150.24
4d2085,EWG6RY,,,1776868592,58.865321,17.9132,6041.4,0.0,False,214.02,-13.376,150.24
4d2085,EWG6RY,,,1776868593,58.867244,17.9132,6028.0,0.0,False,213.85,-13.364,150.24
4d2085,EWG6RY,,,1776868594,58.869166,17.9132,6014.7,0.0,False,213.68,-13.353,150.24
4d2085,EWG6RY,,,1776868595,58.871086,17.9132,6001.3,0.0,False,213.52,-13.341,150.24
4d2085,EWG6RY,,,1776868596,58.873005,17.9132,5988.0,0.0,False,213.35,-13.33,150.24
4d2085,EWG6RY,,,1776868597,58.874932,17.9132,5974.7,0.0,False,214.34,-13.321,150.24
4d2085,EWG6RY,,,1776868598,58.876858,17.9132,5961.4,0.0,False,214.17,-13.309,150.24
4d2085,EWG6RY,,,1776868599,58.878801,17.9132,5948.0,0.0,False,216.04,-13.365,150.24
4d2085,EWG6RY,,,1776868600,58.880743,17.9132,5934.7,0.0,False,215.87,-13.353,150.24
4d2085,EWG6RY,,,1776868601,58.882682,17.9132,5921.3,0.0,False,215.7,-13.341,150.24
4d2085,EWG6RY,,,1776868602,58.884621,17.9132,5908.0,0.0,False,215.54,-13.33,150.24
4d2085,EWG6RY,,,1776868603,58.886558,17.9132,5894.7,0.0,False,215.37,-13.318,150.24
4d2085,EWG6RY,,,1776868604,58.888493,17.9132,5881.4,0.0,False,215.21,-13.307,150.24
4d2085,EWG6RY,,,1776868605,58.890427,17.9132,5868.1,0.0,False,215.04,-13.295,150.24
4d2085,EWG6RY,,,1776868606,58.892359,17.9132,5854.8,0.0,False,214.88,-13.284,150.24
4d2085,EWG6RY,,,1776868607,58.89429,17.9132,5841.5,0.0,False,214.71,-13.272,150.24
4d2085,EWG6RY,,,1776868608,58.89622,17.9132,5828.2,0.0,False,214.55,-13.261,150.24
4d2085,EWG6RY,,,1776868609,58.898148,17.9132,5815.0,0.0,False,214.38,-13.249,150.24
4d2085,EWG6RY,,,1776868610,58.900074,17.9132,5801.8,0.0,False,214.22,-13.238,150.24
