icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4baacd,THY8WZ,,,1776870480,58.803227,17.9132,7253.3,0.0,False,247.61,-18.177,165.16
4baacd,THY8WZ,,,1776870481,58.805454,17.9132,7235.1,0.0,False,247.61,-18.214,165.36
4baacd,THY8WZ,,,1776870482,58.80768,17.9132,7216.9,0.0,False,247.61,-18.251,165.57
4baacd,THY8WZ,,,1776870483,58.809907,17.9132,7198.6,0.0,False,247.61,-18.288,165.77
4baacd,THY8WZ,,,1776870484,58.812134,17.9132,7180.3,0.0,False,247.61,-18.326,165.97
4baacd,THY8WZ,,,1776870485,58.814361,17.9132,7161.9,0.0,False,247.61,-18.363,166.18
4baacd,THY8WZ,,,1776870486,58.816587,17.9132,7143.5,0.0,False,247.61,-18.401,166.38
4baacd,THY8WZ,,,1776870487,58.818814,17.9132,7125.1,0.0,False,247.61,-18.439,166.58
4baacd,THY8WZ,,,1776870488,58.821041,17.9132,7106.6,0.0,False,247.61,-18.478,166.79
4baacd,THY8WZ,,,1776870489,58.823268,17.9132,7088.1,0.0,False,247.61,-18.516,167.0
4baacd,THY8WZ,,,1776870490,58.825495,17.9132,7069.5,0.0,False,247.61,-18.555,167.2
4baacd,THY8WZ,,,1776870491,58.827721,17.9132,7050.9,0.0,False,247.61,-18.593,167.41
4baacd,THY8WZ,,,1776870492,58.829948,17.9132,7032.3,0.0,False,247.61,-18.632,167.62
4baacd,THY8WZ,,,1776870493,58.832175,17.9132,7013.6,0.0,False,247.61,-18.672,167.82
4baacd,THY8WZ,,,1776870494,58.834402,17.9132,6994.9,0.0,False,247.61,-18.711,168.03
4baacd,THY8WZ,,,1776870495,58.836628,17.9132,6976.1,0.0,False,247.61,-18.751,168.24
4baacd,THY8WZ,,,1776870496,58.838855,17.9132,6957.4,0.0,False,247.61,-18.79,168.45
4baacd,THY8WZ,,,1776870497,58.841082,17.9132,6938.5,0.0,False,247.61,-18.83,168.66
4baacd,THY8WZ,,,1776870498,58.843309,17.9132,6919.7,0.0,False,247.61,-18.871,168.87
4baacd,THY8WZ,,,1776870499,58.845535,17.9132,6900.7,0.0,False,247.61,-18.911,169.09
4baacd,THY8WZ,,,1776870500,58.847762,17.9132,6881.8,0.0,False,247.61,-18.952,169.3
4baacd,THY8WZ,,,1776870501,58.849989,17.9132,6862.8,0.0,False,247.61,-18.993,169.51
4baacd,THY8WZ,,,1776870502,58.852216,17.9132,6843.8,0.0,False,247.61,-19.034,169.72
4baacd,THY8WZ,,,1776870503,58.854443,17.9132,6824.7,0.0,False,247.61,-19.075,169.94
4baacd,THY8WZ,,,1776870504,58.856669,17.9132,6805.6,0.0,False,247.61,-19.116,170.15
4baacd,THY8WZ,,,1776870505,58.858896,17.9132,6786.4,0.0,False,247.61,-19.158,170.37
4baacd,THY8WZ,,,1776870506,58.861123,17.9132,6767.2,0.0,False,247.61,-19.2,170.58
4baacd,THY8WZ,,,1776870507,58.863355,17.9132,6748.2,0.0,False,248.26,-18.97,169.64
4baacd,THY8WZ,,,1776870508,58.865588,17.9132,6729.2,0.0,False,248.26,-19.01,169.85
4baacd,THY8WZ,,,1776870509,58.867821,17.9132,6710.2,0.0,False,248.26,-19.051,170.07
4baacd,THY8WZ,,,1776870510,58.870053,17.9132,6691.1,0.0,False,248.26,-19.092,170.28
4baacd,THY8WZ,,,1776870511,58.872286,17.9132,6672.0,0.0,False,248.26,-19.134,170.49
4baacd,THY8WZ,,,1776870512,58.874529,17.9132,6652.8,0.0,False,249.37,-19.164,170.66
4baacd,THY8WZ,,,1776870513,58.876771,17.9132,6633.6,0.0,False,249.37,-19.206,170.88
4baacd,THY8WZ,,,1776870514,58.879014,17.9132,6614.3,0.0,False,249.37,-19.247,171.09
4baacd,THY8WZ,,,1776870515,58.881256,17.9132,6595.0,0.0,False,249.37,-19.29,171.31
4baacd,THY8WZ,,,1776870516,58.883499,17.9132,6575.7,0.0,False,249.37,-19.332,171.53
4baacd,THY8WZ,,,1776870517,58.885742,17.9132,6556.3,0.0,False,249.37,-19.374,171.75
4baacd,THY8WZ,,,1776870518,58.887984,17.9132,6536.9,0.0,False,249.37,-19.417,171.96
4baacd,THY8WZ,,,1776870519,58.890227,17.9132,6517.5,0.0,False,249.37,-19.46,172.18
4baacd,THY8WZ,,,1776870520,58.892469,17.9132,6498.0,0.0,False,249.37,-19.503,172.4
4baacd,THY8WZ,,,1776870521,58.894712,17.9132,6478.4,0.0,False,249.37,-19.546,172.62
4baacd,THY8WZ,,,1776870522,58.896955,17.9132,6458.8,0.0,False,249.37,-19.59,172.84
4baacd,THY8WZ,,,1776870523,58.899197,17.9132,6439.2,0.0,False,249.37,-19.634,173.06
4baacd,THY8WZ,,,1776870524,58.90144,17.9132,6419.5,0.0,False,249.37,-19.678,173.29
4baacd,THY8WZ,,,1776870525,58.903682,17.9132,6399.8,0.0,False,249.37,-19.722,173.51
4baacd,THY8WZ,,,1776870526,58.905925,17.9132,6380.0,0.0,False,249.37,-19.767,173.73
4baacd,THY8WZ,,,1776870527,58.908168,17.9132,6360.2,0.0,False,249.37,-19.812,173.96
4baacd,THY8WZ,,,1776870528,58.91041,17.9132,6340.4,0.0,False,249.37,-19.857,174.18
4baacd,THY8WZ,,,1776870529,58.912653,17.9132,6320.5,0.0,False,249.37,-19.902,174.41
4baacd,THY8WZ,,,1776870530,58.914895,17.9132,6300.5,0.0,False,249.37,-19.947,174.63
4baacd,THY8WZ,,,1776870531,58.917138,17.9132,6280.5,0.0,False,249.37,-19.993,174.86
4baacd,THY8WZ,,,1776870532,58.91938,17.9132,6260.5,0.0,False,249.37,-20.039,175.09
4baacd,THY8WZ,,,1776870533,58.921623,17.9132,6240.4,0.0,False,249.37,-20.085,175.31
4baacd,THY8WZ,,,1776870534,58.923866,17.9132,6220.3,0.0,False,249.37,-20.132,175.54
4baacd,THY8WZ,,,1776870535,58.926108,17.9132,6200.1,0.0,False,249.37,-20.179,175.77
4baacd,THY8WZ,,,1776870536,58.928353,17.9132,6179.8,0.0,False,249.58,-20.281,176.18
4baacd,THY8WZ,,,1776870537,58.930595,17.9132,6159.5,0.0,False,249.3,-20.256,176.18
4baacd,THY8WZ,,,1776870538,58.932834,17.9132,6139.3,0.0,False,249.01,-20.23,176.18
4baacd,THY8WZ,,,1776870539,58.935071,17.9132,6119.1,0.0,False,248.72,-20.204,176.18
4baacd,THY8WZ,,,1776870540,58.937305,17.9132,6098.9,0.0,False,248.44,-20.179,176.18
4baacd,THY8WZ,,,1776870541,58.939537,17.9132,6078.8,0.0,False,248.16,-20.153,176.18
4baacd,THY8WZ,,,1776870542,58.941766,17.9132,6058.6,0.0,False,247.87,-20.128,176.18
4baacd,THY8WZ,,,1776870543,58.943993,17.9132,6038.5,0.0,False,247.59,-20.103,176.18
4baacd,THY8WZ,,,1776870544,58.946217,17.9132,6018.5,0.0,False,247.31,-20.078,176.18
4baacd,THY8WZ,,,1776870545,58.948439,17.9132,5998.4,0.0,False,247.03,-20.053,176.18
4baacd,THY8WZ,,,1776870546,58.950658,17.9132,5978.4,0.0,False,246.75,-20.028,176.18
4baacd,THY8WZ,,,1776870547,58.952874,17.9132,5958.4,0.0,False,246.47,-20.003,176.18
4baacd,THY8WZ,,,1776870548,58.95511,17.9132,5938.3,0.0,False,248.58,-20.043,176.18
4baacd,THY8WZ,,,1776870549,58.957343,17.9132,5918.3,0.0,False,248.3,-20.018,176.18
4baacd,THY8WZ,,,1776870550,58.959573,17.9132,5898.3,0.0,False,248.02,-19.993,176.18
4baacd,THY8WZ,,,1776870551,58.961801,17.9132,5878.4,0.0,False,247.74,-19.968,176.18
4baacd,THY8WZ,,,1776870552,58.964026,17.9132,5858.4,0.0,False,247.46,-19.943,176.18
4baacd,THY8WZ,,,1776870553,58.966249,17.9132,5838.5,0.0,False,247.18,-19.918,176.18
4baacd,THY8WZ,,,1776870554,58.96847,17.9132,5818.6,0.0,False,246.9,-19.894,176.18
4baacd,THY8WZ,,,1776870555,58.970688,17.9132,5798.7,0.0,False,246.62,-19.869,176.18
4baacd,THY8WZ,,,1776870556,58.972903,17.9132,5778.9,0.0,False,246.34,-19.845,176.18
4baacd,THY8WZ,,,1776870557,58.975116,17.9132,5759.1,0.0,False,246.07,-19.82,176.18
4baacd,THY8WZ,,,1776870558,58.977327,17.9132,5739.3,0.0,False,245.79,-19.796,176.18
4baacd,THY8WZ,,,1776870559,58.979535,17.9132,5719.5,0.0,False,245.52,-19.772,176.18
4baacd,THY8WZ,,,1776870560,58.98174,17.9132,5699.8,0.0,False,245.25,-19.748,176.18
4baacd,THY8WZ,,,1776870561,58.983943,17.9132,5680.0,0.0,False,244.97,-19.723,176.18
4baacd,THY8WZ,,,1776870562,58.986144,17.9132,5660.3,0.0,False,244.7,-19.699,176.18
4baacd,THY8WZ,,,1776870563,58.988342,17.9132,5640.7,0.0,False,244.43,-19.675,176.18
4baacd,THY8WZ,,,1776870564,58.990538,17.9132,5621.0,0.0,False,244.16,-19.651,176.18
4baacd,THY8WZ,,,1776870565,58.992731,17.9132,5601.4,0.0,False,243.89,-19.628,176.18
4baacd,THY8WZ,,,1776870566,58.994922,17.9132,5581.8,0.0,False,243.62,-19.604,176.18
4baacd,THY8WZ,,,1776870567,58.997111,17.9132,5562.2,0.0,False,243.35,-19.58,176.18
4baacd,THY8WZ,,,1776870568,58.999297,17.9132,5542.6,0.0,False,243.08,-19.556,176.18
4baacd,THY8WZ,,,1776870569,59.00148,17.9132,5523.1,0.0,False,242.81,-19.533,176.18
4baacd,THY8WZ,,,1776870570,59.003662,17.9132,5503.6,0.0,False,242.55,-19.509,176.18
4baacd,THY8WZ,,,1776870571,59.00584,17.9132,5484.1,0.0,False,242.28,-19.486,176.18
4baacd,THY8WZ,,,1776870572,59.008017,17.9132,5464.6,0.0,False,242.02,-19.462,176.18
4baacd,THY8WZ,,,1776870573,59.010159,17.913336,5445.2,1.9,False,241.75,-19.439,176.18
4baacd,THY8WZ,,,1776870574,59.011553,17.916574,5425.8,50.1,False,241.49,-19.416,176.18
4baacd,THY8WZ,,,1776870575,59.012947,17.919808,5406.4,50.1,False,241.23,-19.393,176.18
4baacd,THY8WZ,,,1776870576,59.014338,17.923039,5387.0,50.1,False,240.96,-19.369,176.18
4baacd,THY8WZ,,,1776870577,59.015729,17.926267,5367.7,50.1,False,240.7,-19.346,176.18
4baacd,THY8WZ,,,1776870578,59.017117,17.929491,5348.4,50.1,False,240.44,-19.323,176.18
4baacd,THY8WZ,,,1776870579,59.018504,17.932711,5329.1,50.1,False,240.18,-19.3,176.18
4baacd,THY8WZ,,,1776870580,59.01989,17.935928,5309.8,50.1,False,239.92,-19.277,176.18
4baacd,THY8WZ,,,1776870581,59.021274,17.939142,5290.5,50.1,False,239.66,-19.254,176.18
4baacd,THY8WZ,,,1776870582,59.022657,17.942352,5271.3,50.1,False,239.4,-19.232,176.18
4baacd,THY8WZ,,,1776870583,59.024038,17.945558,5252.1,50.1,False,239.15,-19.209,176.18
4baacd,THY8WZ,,,1776870584,59.025418,17.948762,5232.9,50.1,False,238.89,-19.186,176.18
4baacd,THY8WZ,,,1776870585,59.026796,17.951961,5213.7,50.1,False,238.63,-19.164,176.18
4baacd,THY8WZ,,,1776870586,59.028192,17.955202,5194.5,50.1,False,241.71,-19.198,176.18
4baacd,THY8WZ,,,1776870587,59.029587,17.95844,5175.4,50.1,False,241.45,-19.175,176.18
4baacd,THY8WZ,,,1776870588,59.03098,17.961674,5156.2,50.1,False,241.19,-19.152,176.18
4baacd,THY8WZ,,,1776870589,59.032372,17.964904,5137.1,50.1,False,240.93,-19.13,176.18
4baacd,THY8WZ,,,1776870590,59.033762,17.968131,5118.0,50.1,False,240.68,-19.107,176.18
4baacd,THY8WZ,,,1776870591,59.03515,17.971355,5098.9,50.1,False,240.42,-19.085,176.18
4baacd,THY8WZ,,,1776870592,59.036537,17.974575,5079.8,50.1,False,240.17,-19.062,176.18
4baacd,THY8WZ,,,1776870593,59.037923,17.977792,5060.8,50.1,False,239.91,-19.04,176.18
4baacd,THY8WZ,,,1776870594,59.039307,17.981006,5041.8,50.1,False,239.66,-19.018,176.18
4baacd,THY8WZ,,,1776870595,59.04069,17.984216,5022.8,50.1,False,239.41,-18.996,176.18
4baacd,THY8WZ,,,1776870596,59.042071,17.987423,5003.8,50.1,False,239.15,-18.973,176.18
4baacd,THY8WZ,,,1776870597,59.043451,17.990626,4984.9,50.1,False,238.9,-18.951,176.18
4baacd,THY8WZ,,,1776870598,59.04483,17.993826,4965.9,50.1,False,238.65,-18.929,176.18
4baacd,THY8WZ,,,1776870599,59.046207,17.997022,4947.0,50.1,False,238.4,-18.907,176.18
4baacd,THY8WZ,,,1776870600,59.047582,18.000216,4928.1,50.1,False,238.15,-18.885,176.18
4baacd,THY8WZ,,,1776870601,59.048956,18.003405,4909.3,50.1,False,237.9,-18.863,176.18
4baacd,THY8WZ,,,1776870602,59.050329,18.006592,4890.4,50.1,False,237.65,-18.841,176.18
4baacd,THY8WZ,,,1776870603,59.0517,18.009775,4871.6,50.0,False,237.4,-18.819,176.18
4baacd,THY8WZ,,,1776870604,59.05307,18.012955,4852.8,50.0,False,237.16,-18.797,176.18
